id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,2.014,1.738,1.079,0.75,5.05,µg-m3,1
FR01011,Metz-Centre,NO2,16.456,15.012,4.787,11.025,25.675,µg-m3,1
FR01011,Metz-Centre,O3,30.746,29.862,9.427,15.8,47.475,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,19.43,17.788,6.058,12.1,30.8,µg-m3,1
FR01011,Metz-Centre,PM10,15.269,15.175,2.808,11.4,21.625,µg-m3,1
FR01011,Metz-Centre,PM2.5,14.653,14.387,3.107,8.5,21.25,µg-m3,2
FR01012,Metz-Borny,NO,1.77,1.45,0.895,0.85,4.1,µg-m3,1
FR01012,Metz-Borny,NO2,14.234,14.137,3.817,6.975,21.425,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,16.947,16.525,4.76,8.475,26.3,µg-m3,1
FR01012,Metz-Borny,PM10,11.106,11.913,2.98,5.0,16.65,µg-m3,1
FR01014,Pont-à-Mousson,PM10,14.889,14.425,4.792,8.025,27.3,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,15.515,14.637,5.167,7.2,22.7,µg-m3,1
FR01016,Atton,NO,1.603,1.4,1.248,0.05,4.2,µg-m3,1
FR01016,Atton,NO2,10.196,10.625,2.632,4.6,13.875,µg-m3,1
FR01016,Atton,NOX as NO2,12.664,12.887,4.063,5.0,19.775,µg-m3,1
FR01018,Scy-Chazelles,NO,1.09,0.825,0.65,0.25,2.6,µg-m3,1
FR01018,Scy-Chazelles,NO2,10.137,10.35,2.218,5.1,14.05,µg-m3,1
FR01018,Scy-Chazelles,O3,40.529,41.275,10.417,24.575,54.7,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,11.818,11.887,2.767,5.8,17.75,µg-m3,1
FR01019,Thionville-Piscine,NO,4.07,4.062,0.86,2.875,5.575,µg-m3,1
FR01019,Thionville-Piscine,NO2,12.397,12.25,3.808,4.4,18.85,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,18.642,18.762,4.868,8.775,27.375,µg-m3,1
