id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,0.615,0.6,0.389,0.1,1.925,µg-m3,1
FR01011,Metz-Centre,NO2,7.579,7.188,3.103,4.3,20.275,µg-m3,1
FR01011,Metz-Centre,O3,64.479,69.862,12.3,22.15,73.55,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,8.307,7.613,3.577,4.175,23.0,µg-m3,1
FR01011,Metz-Centre,PM10,9.679,9.575,4.494,2.475,20.8,µg-m3,1
FR01011,Metz-Centre,PM2.5,7.399,6.1,3.571,3.6,15.375,µg-m3,1
FR01012,Metz-Borny,NO,1.141,0.975,0.475,0.425,2.1,µg-m3,1
FR01012,Metz-Borny,NO2,8.023,7.875,2.168,4.9,12.6,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,9.773,10.3,2.701,5.8,15.075,µg-m3,1
FR01012,Metz-Borny,PM10,11.777,12.575,5.281,1.7,19.675,µg-m3,1
FR01014,Pont-à-Mousson,PM10,11.708,11.238,4.422,5.1,21.25,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,12.943,10.137,6.704,4.1,29.3,µg-m3,1
FR01016,Atton,NO,0.253,0.2,0.242,0.025,0.85,µg-m3,1
FR01016,Atton,NO2,4.525,4.488,1.211,2.7,6.825,µg-m3,1
FR01016,Atton,NOX as NO2,4.717,4.713,1.475,2.225,8.2,µg-m3,1
FR01018,Scy-Chazelles,NO,0.751,0.8,0.3,0.225,1.25,µg-m3,1
FR01018,Scy-Chazelles,NO2,6.431,5.438,3.045,3.975,17.675,µg-m3,1
FR01018,Scy-Chazelles,O3,67.705,72.475,12.93,21.25,75.3,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,7.603,6.9,3.283,4.55,19.25,µg-m3,1
FR01019,Thionville-Piscine,NO,3.393,3.3,1.1,2.4,8.075,µg-m3,1
FR01019,Thionville-Piscine,NO2,7.44,4.4,8.023,3.1,39.225,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,12.639,9.25,9.512,7.2,51.625,µg-m3,2
FR01019,Thionville-Piscine,PM10,10.976,9.65,4.292,5.8,19.1,µg-m3,1
FR01020,Thionville-Centre,NO,4.971,5.213,1.286,3.05,7.525,µg-m3,1
FR01020,Thionville-Centre,NO2,10.915,8.838,7.109,5.0,40.4,µg-m3,2
FR01020,Thionville-Centre,O3,62.082,68.175,13.233,11.925,71.525,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,18.538,17.375,8.536,9.675,51.95,µg-m3,2
FR01020,Thionville-Centre,PM10,10.34,10.087,4.505,3.5,19.7,µg-m3,1
FR01020,Thionville-Centre,PM2.5,3.575,3.562,1.562,0.875,7.4,µg-m3,1
FR01021,Thionville-Garche,O3,69.606,76.75,15.207,15.575,79.35,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,9.257,7.762,4.399,2.3,19.775,µg-m3,1
FR01064,Metz- Pont Grilles,NO,14.155,14.625,12.179,0.525,44.95,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,16.404,15.6,9.063,4.475,41.25,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,38.01,35.9,27.152,6.6,109.725,µg-m3,3
FR01064,Metz- Pont Grilles,PM10,13.643,14.2,4.648,5.825,23.975,µg-m3,1
FR01065,Belleville sur Meuse,NO,7.27,5.65,7.692,0.625,28.525,µg-m3,1
FR01065,Belleville sur Meuse,NO2,10.136,8.975,5.516,2.95,26.225,µg-m3,1
FR01065,Belleville sur Meuse,NOX as NO2,21.255,16.75,16.986,4.0,69.9,µg-m3,2
FR01065,Belleville sur Meuse,PM2.5,6.158,4.987,2.963,1.55,13.925,µg-m3,1
FR02001,Berre l'Etang,O3,65.333,74.963,21.896,11.733,81.875,µg-m3,2
FR02001,Berre l'Etang,C6H6,0.589,0.193,0.904,0.128,2.72,µg-m3,0
FR02004,Martigues P. Central,SO2,1.375,1.425,0.583,0.425,2.2,µg-m3,1
FR02004,Martigues P. Central,O3,73.279,75.938,6.149,62.7,81.75,µg-m3,2
FR02006,Martigues Laurons,SO2,4.424,3.737,1.83,1.5,7.875,µg-m3,1
FR02007,Martigues La Gatasse,SO2,1.295,1.312,0.266,0.367,1.65,µg-m3,1
FR02008,Port de Bouc Leque,SO2,5.226,4.963,2.138,2.375,9.975,µg-m3,1
