id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,1.915,1.05,2.473,0.0,10.075,µg-m3,1
FR01011,Metz-Centre,NO2,16.123,11.1,13.364,2.575,42.825,µg-m3,2
FR01011,Metz-Centre,O3,51.078,57.15,24.383,3.7,83.2,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,18.868,12.5,16.715,2.7,58.275,µg-m3,2
FR01011,Metz-Centre,PM2.5,5.416,3.75,4.989,0.3,17.2,µg-m3,1
FR01012,Metz-Borny,NO,2.169,2.038,1.385,0.475,4.025,µg-m3,1
FR01012,Metz-Borny,NO2,15.322,7.862,13.586,4.025,47.05,µg-m3,2
FR01012,Metz-Borny,NOX as NO2,15.568,7.037,16.042,2.375,52.225,µg-m3,2
FR01012,Metz-Borny,PM10,7.263,6.287,4.375,0.475,15.675,µg-m3,1
FR01014,Pont-à-Mousson,PM10,12.921,10.012,9.051,3.3,33.0,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,11.507,6.362,10.16,3.2,34.5,µg-m3,1
FR01016,Atton,NO,0.975,0.613,1.293,0.0,4.8,µg-m3,1
FR01016,Atton,NO2,5.221,1.725,6.209,0.025,22.95,µg-m3,1
FR01016,Atton,NOX as NO2,7.935,6.65,8.079,0.125,30.35,µg-m3,1
FR01018,Scy-Chazelles,NO,1.48,0.562,1.923,0.3,6.825,µg-m3,1
FR01018,Scy-Chazelles,NO2,10.53,3.125,10.995,2.05,36.525,µg-m3,1
FR01018,Scy-Chazelles,O3,54.437,70.238,28.085,6.35,84.875,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,12.811,3.975,13.622,2.5,46.975,µg-m3,2
FR01019,Thionville-Piscine,NO,7.827,1.6,13.695,0.325,53.0,µg-m3,1
FR01019,Thionville-Piscine,NO2,15.778,5.875,18.279,0.075,55.525,µg-m3,2
FR01019,Thionville-Piscine,NOX as NO2,27.782,7.775,37.225,0.575,131.3,µg-m3,4
FR01019,Thionville-Piscine,PM10,13.146,9.75,10.32,0.4,34.3,µg-m3,1
FR01020,Thionville-Centre,NO,17.189,5.35,21.123,2.975,68.35,µg-m3,1
