id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,1.15,0.875,0.731,0.275,2.925,µg-m3,1
FR01011,Metz-Centre,NO2,11.49,10.425,4.714,3.525,22.975,µg-m3,1
FR01011,Metz-Centre,O3,56.109,56.625,7.259,43.25,73.5,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,13.16,11.325,5.746,4.275,27.275,µg-m3,1
FR01011,Metz-Centre,PM2.5,3.255,2.825,1.756,1.075,7.1,µg-m3,1
FR01012,Metz-Borny,NO,0.9,0.9,0,0.9,0.9,µg-m3,1
FR01012,Metz-Borny,NO2,7.442,7.325,1.509,5.1,11.45,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,6.327,6.188,1.74,3.8,10.475,µg-m3,1
FR01012,Metz-Borny,PM10,2.221,1.975,1.697,0.025,5.375,µg-m3,1
FR01014,Pont-à-Mousson,PM10,5.992,5.45,2.785,2.4,13.65,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,3.081,2.95,1.341,0.8,5.2,µg-m3,1
FR01016,Atton,NO,0.388,0.4,0.254,0.05,0.7,µg-m3,1
FR01016,Atton,NO2,3.818,4.05,2.417,0.475,8.5,µg-m3,1
FR01016,Atton,NOX as NO2,4.149,4.412,2.855,0.0,9.625,µg-m3,1
FR01018,Scy-Chazelles,NO,0.452,0.388,0.227,0.15,0.975,µg-m3,1
FR01018,Scy-Chazelles,NO2,6.044,4.763,2.868,2.45,11.625,µg-m3,1
FR01018,Scy-Chazelles,O3,65.589,66.975,5.605,52.3,76.325,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,6.748,5.1,3.101,3.0,12.875,µg-m3,1
FR01019,Thionville-Piscine,NO,0.945,0.95,0.455,0.175,1.6,µg-m3,1
FR01019,Thionville-Piscine,NO2,8.847,8.988,5.483,0.975,19.2,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,10.307,10.613,6.088,1.35,21.675,µg-m3,1
FR01019,Thionville-Piscine,PM10,4.49,4.55,2.005,1.6,9.7,µg-m3,1
FR01020,Thionville-Centre,NO,4.216,4.325,0.853,3.125,6.45,µg-m3,1
FR01020,Thionville-Centre,NO2,12.282,11.887,5.731,4.375,23.15,µg-m3,1
FR01020,Thionville-Centre,O3,57.582,57.175,8.016,41.425,76.1,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,18.75,19.175,6.753,9.125,30.1,µg-m3,1
FR01020,Thionville-Centre,PM10,3.314,3.875,1.909,0.025,6.2,µg-m3,1
FR01020,Thionville-Centre,PM2.5,2.861,2.862,1.251,0.7,5.55,µg-m3,1
FR01021,Thionville-Garche,O3,66.006,65.75,4.974,58.2,77.575,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,3.875,3.425,2.353,0.825,8.0,µg-m3,1
FR01064,Metz- Pont Grilles,NO,8.672,7.55,5.855,1.2,18.375,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,14.606,14.113,7.456,3.2,27.05,µg-m3,1
FR01064,Metz- Pont Grilles,NOX as NO2,27.804,25.663,16.246,4.975,54.075,µg-m3,2
FR01064,Metz- Pont Grilles,PM10,4.349,3.95,2.309,0.525,9.1,µg-m3,1
FR01065,Belleville sur Meuse,NO,8.946,7.162,7.655,1.425,30.3,µg-m3,1
FR01065,Belleville sur Meuse,NO2,10.668,9.087,7.492,1.725,24.85,µg-m3,1
FR01065,Belleville sur Meuse,NOX as NO2,24.376,20.163,18.945,3.875,70.275,µg-m3,2
FR01065,Belleville sur Meuse,PM2.5,2.97,3.1,1.964,0.1,7.4,µg-m3,1
FR02001,Berre l'Etang,O3,41.83,42.838,19.063,10.975,69.525,µg-m3,2
FR02001,Berre l'Etang,C6H6,1.637,1.489,1.107,0.233,4.315,µg-m3,0
FR02004,Martigues P. Central,SO2,4.962,2.942,6.281,1.275,28.575,µg-m3,1
FR02004,Martigues P. Central,O3,59.742,60.438,8.251,46.625,77.5,µg-m3,2
FR02006,Martigues Laurons,SO2,6.895,6.325,4.052,1.9,15.15,µg-m3,1
FR02007,Martigues La Gatasse,SO2,5.649,3.625,4.177,2.2,18.475,µg-m3,1
FR02008,Port de Bouc Leque,SO2,3.855,3.475,1.26,2.7,7.95,µg-m3,1
FR02008,Port de Bouc Leque,PM10,16.342,15.088,7.284,5.15,31.45,µg-m3,1
FR02008,Port de Bouc Leque,PM2.5,9.235,7.737,5.188,1.625,23.225,µg-m3,1
FR02009,Port Saint Louis,PM10,8.731,9.162,3.141,3.1,17.375,µg-m3,1
FR02011,Fos sur Mer,SO2,6.98,5.412,4.26,2.975,19.95,µg-m3,1
FR02012,Istres,O3,42.6,40.567,17.001,8.125,69.125,µg-m3,2
FR02013,Fos Les Carabins,SO2,2.228,1.375,2.893,0.075,9.925,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,11.178,7.912,10.381,2.725,44.275,µg-m3,2
FR02020,Rognac les Brets,PM2.5,17.345,10.588,16.437,0.725,58.0,µg-m3,2
FR02021,Sausset les Pins,SO2,1.351,1.375,0.557,0.35,2.467,µg-m3,1
FR02021,Sausset les Pins,O3,56.446,56.35,10.695,38.7,77.0,µg-m3,2
FR02022,Arles,NO,5.29,2.45,8.206,0.15,33.2,µg-m3,1
FR02022,Arles,NO2,18.766,13.875,16.514,3.175,65.525,µg-m3,2
FR02022,Arles,O3,44.576,44.712,18.299,8.325,70.375,µg-m3,2
FR02022,Arles,NOX as NO2,26.541,18.512,28.56,3.15,116.4,µg-m3,3
FR02022,Arles,PM10,10.226,8.5,6.046,4.65,28.9,µg-m3,1
FR02022,Arles,PM2.5,6.749,4.925,5.036,2.8,23.875,µg-m3,1
FR02028,Martigues Lavera,SO2,5.287,5.35,1.186,3.3,8.075,µg-m3,1
FR02028,Martigues Lavera,C6H6,3.953,1.489,5.695,0.182,19.125,µg-m3,0
FR02029,Chateauneuf La Mede,SO2,1.895,1.675,0.968,0.575,3.775,µg-m3,1
FR02029,Chateauneuf La Mede,PM10,14.696,12.3,7.526,5.8,33.35,µg-m3,1
FR02041,SALON,NO,9.193,2.037,15.855,0.65,60.7,µg-m3,1
FR02041,SALON,NO2,23.748,16.487,17.451,4.9,62.275,µg-m3,2
FR02041,SALON,O3,34.951,37.263,21.64,7.35,69.5,µg-m3,2
FR02041,SALON,NOX as NO2,37.856,19.017,40.339,6.35,155.425,µg-m3,4
FR02041,SALON,PM10,20.954,11.475,20.972,3.475,72.025,µg-m3,2
FR02041,SALON,PM2.5,18.504,9.212,20.195,2.525,68.975,µg-m3,2
FR02043,Marignane,NO,18.536,8.463,21.032,0.825,75.1,µg-m3,1
FR02043,Marignane,NO2,29.782,23.325,18.356,10.2,61.0,µg-m3,2
FR02043,Marignane,NOX as NO2,58.204,33.837,47.773,14.125,150.0,µg-m3,4
FR02043,Marignane,PM10,20.396,13.625,15.791,4.525,59.7,µg-m3,2
