id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,2.496,0.8,3.889,0.05,12.85,µg-m3,1
FR01011,Metz-Centre,NO2,15.768,8.8,14.19,4.7,48.65,µg-m3,2
FR01011,Metz-Centre,O3,48.859,56.888,22.253,3.45,74.075,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,19.499,9.537,19.876,5.05,68.25,µg-m3,2
FR01011,Metz-Centre,PM10,17.37,16.312,6.279,3.275,29.675,µg-m3,1
FR01011,Metz-Centre,PM2.5,10.205,8.012,5.672,1.95,23.2,µg-m3,2
FR01012,Metz-Borny,NO,7.994,1.688,14.877,0.65,59.5,µg-m3,1
FR01012,Metz-Borny,NO2,21.283,11.988,20.211,6.65,73.275,µg-m3,2
FR01012,Metz-Borny,NOX as NO2,33.547,14.1,42.279,7.625,164.55,µg-m3,4
FR01012,Metz-Borny,PM10,15.126,13.875,5.794,1.5,25.875,µg-m3,1
FR01014,Pont-à-Mousson,PM10,22.122,16.1,15.842,3.1,68.075,µg-m3,2
FR01015,Blénod-lès-PAM,PM10,12.54,10.113,7.507,4.9,28.3,µg-m3,1
FR01016,Atton,NO,5.029,1.1,7.474,0.05,25.025,µg-m3,1
FR01016,Atton,NO2,16.626,4.938,19.978,2.825,67.75,µg-m3,2
FR01016,Atton,NOX as NO2,22.343,5.15,30.044,2.55,106.15,µg-m3,3
FR01018,Scy-Chazelles,NO,1.496,1.325,0.963,0.333,4.125,µg-m3,1
FR01018,Scy-Chazelles,NO2,14.483,10.788,9.055,4.7,32.7,µg-m3,1
FR01018,Scy-Chazelles,O3,45.244,49.587,23.068,14.8,76.85,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,16.793,13.812,10.118,5.233,39.0,µg-m3,1
FR01019,Thionville-Piscine,NO,9.551,3.587,11.927,2.45,39.175,µg-m3,1
FR01019,Thionville-Piscine,NO2,20.653,9.175,20.591,2.85,60.125,µg-m3,2
FR01019,Thionville-Piscine,NOX as NO2,35.294,14.662,37.446,7.5,115.25,µg-m3,3
FR01019,Thionville-Piscine,PM10,18.768,18.25,5.97,7.3,28.9,µg-m3,1
FR01020,Thionville-Centre,NO,14.176,6.3,15.581,3.675,57.4,µg-m3,1
FR01020,Thionville-Centre,NO2,24.739,14.1,18.802,7.175,58.425,µg-m3,2
FR01020,Thionville-Centre,O3,36.487,39.688,23.673,2.225,67.225,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,46.467,23.225,41.57,12.85,144.275,µg-m3,4
FR01020,Thionville-Centre,PM10,17.597,14.35,8.553,0.8,35.2,µg-m3,1
FR01020,Thionville-Centre,PM2.5,5.961,4.162,4.84,0.775,16.825,µg-m3,1
FR01021,Thionville-Garche,O3,48.353,50.725,24.061,3.325,79.9,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,16.74,13.438,8.763,4.625,36.575,µg-m3,1
FR01064,Metz- Pont Grilles,NO,17.87,12.537,22.141,1.25,81.575,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,26.379,19.325,19.324,6.6,70.575,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,53.675,39.475,51.743,9.55,195.175,µg-m3,4
FR01064,Metz- Pont Grilles,PM10,18.641,19.087,6.35,2.7,29.6,µg-m3,1
FR01065,Belleville sur Meuse,NO,9.12,5.238,9.419,0.625,35.975,µg-m3,1
FR01065,Belleville sur Meuse,NO2,18.839,15.987,12.865,5.025,43.675,µg-m3,2
FR01065,Belleville sur Meuse,NOX as NO2,32.81,21.1,26.477,6.6,90.575,µg-m3,3
FR01065,Belleville sur Meuse,PM2.5,11.448,6.688,8.214,3.225,27.4,µg-m3,2
FR02001,Berre l'Etang,O3,50.397,56.013,15.004,21.85,72.275,µg-m3,2
FR02001,Berre l'Etang,C6H6,1.283,0.276,1.673,0.188,6.45,µg-m3,0
FR02004,Martigues P. Central,SO2,1.228,1.3,0.542,0.05,2.05,µg-m3,1
FR02004,Martigues P. Central,O3,62.531,59.888,7.249,53.675,79.025,µg-m3,2
FR02006,Martigues Laurons,SO2,3.486,3.1,2.075,0.925,8.325,µg-m3,1
FR02007,Martigues La Gatasse,SO2,1.047,0.95,0.304,0.525,1.533,µg-m3,1
FR02008,Port de Bouc Leque,SO2,3.849,3.525,1.649,1.575,7.9,µg-m3,1
FR02008,Port de Bouc Leque,PM10,17.639,13.438,11.272,5.425,37.575,µg-m3,1
FR02008,Port de Bouc Leque,PM2.5,5.883,5.713,3.105,1.7,12.825,µg-m3,1
FR02009,Port Saint Louis,PM10,11.542,9.637,6.104,2.15,26.8,µg-m3,1
FR02012,Istres,O3,55.652,53.8,7.793,46.025,72.725,µg-m3,2
FR02013,Fos Les Carabins,SO2,1.607,1.375,0.803,0.25,3.175,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,5.026,5.112,2.812,0.425,10.35,µg-m3,1
FR02020,Rognac les Brets,PM2.5,10.905,11.425,7.42,0.3,30.35,µg-m3,2
FR02021,Sausset les Pins,SO2,1.328,1.15,0.602,0.225,2.55,µg-m3,1
FR02021,Sausset les Pins,O3,61.294,59.962,7.423,51.125,77.5,µg-m3,2
FR02022,Arles,NO,0.46,0.45,0.273,0.075,1.075,µg-m3,1
FR02022,Arles,NO2,5.242,5.162,0.956,3.525,7.375,µg-m3,1
FR02022,Arles,O3,62.039,60.825,10.181,47.85,81.95,µg-m3,2
FR02022,Arles,NOX as NO2,5.876,5.713,1.062,3.725,8.15,µg-m3,1
FR02022,Arles,PM10,6.49,6.287,1.424,3.85,9.375,µg-m3,1
FR02022,Arles,PM2.5,3.195,3.275,1.505,1.375,8.425,µg-m3,1
FR02028,Martigues Lavera,SO2,2.603,2.375,0.461,1.925,3.325,µg-m3,1
FR02028,Martigues Lavera,C6H6,0.234,0.175,0.224,0.07,1.133,µg-m3,0
FR02029,Chateauneuf La Mede,PM10,9.893,9.6,4.987,2.7,18.675,µg-m3,1
FR02041,SALON,NO,0.858,0.775,0.246,0.55,1.575,µg-m3,1
FR02041,SALON,NO2,4.864,4.525,1.374,3.45,8.075,µg-m3,1
FR02041,SALON,O3,60.397,58.913,4.995,54.95,72.35,µg-m3,2
FR02041,SALON,NOX as NO2,6.193,5.763,1.363,4.55,9.35,µg-m3,1
FR02041,SALON,PM10,8.002,7.412,3.879,2.375,15.15,µg-m3,1
FR02041,SALON,PM2.5,3.288,3.138,1.436,1.3,5.925,µg-m3,1
FR02043,Marignane,NO,5.568,3.675,4.239,1.55,16.475,µg-m3,1
FR02043,Marignane,NO2,19.455,19.988,13.775,2.9,44.875,µg-m3,2
FR02043,Marignane,NOX as NO2,27.993,25.275,19.073,5.9,64.45,µg-m3,2
FR02043,Marignane,PM10,18.043,15.963,10.335,6.425,42.75,µg-m3,1
FR02043,Marignane,PM2.5,13.319,12.8,11.306,2.0,37.675,µg-m3,2
FR03006,MARSEILLE RABATAU,NO,28.627,25.812,15.626,8.4,56.625,µg-m3,1
FR03006,MARSEILLE RABATAU,NO2,42.256,47.25,16.35,17.45,70.1,µg-m3,2
FR03006,MARSEILLE RABATAU,NOX as NO2,85.2,88.012,38.84,30.825,153.975,µg-m3,4
FR03006,MARSEILLE RABATAU,PM10,32.898,28.862,19.139,11.8,100.55,µg-m3,2
FR03006,MARSEILLE RABATAU,PM2.5,15.605,9.213,12.669,0.7,40.175,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NO,3.936,2.9,3.954,0.85,18.55,µg-m3,1
FR03014,MARSEILLE ST LOUIS,NO2,20.126,14.625,12.979,8.95,56.625,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NOX as NO2,26.16,18.913,18.393,10.425,85.05,µg-m3,2
FR03014,MARSEILLE ST LOUIS,PM10,12.304,11.462,4.522,6.375,23.775,µg-m3,1
FR03014,MARSEILLE ST LOUIS,PM2.5,7.478,6.438,4.257,2.25,19.525,µg-m3,1
FR03021,AIX ROY RENE,NO,16.898,14.363,9.536,6.175,45.725,µg-m3,1
FR03021,AIX ROY RENE,NO2,33.648,32.013,9.154,20.775,59.025,µg-m3,2
FR03021,AIX ROY RENE,NOX as NO2,59.575,51.737,20.988,38.225,109.875,µg-m3,3
FR03021,AIX ROY RENE,PM10,20.35,19.138,8.626,8.2,41.075,µg-m3,2
FR03027,PLAN AUPS/STE  BAUME,O3,58.269,61.5,12.451,38.275,73.85,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NO,20.247,19.837,15.028,1.625,51.725,µg-m3,1
FR03029,AIX CENTRE ECOLE ART,NO2,33.543,36.7,14.817,7.35,58.95,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NOX as NO2,64.605,70.912,34.918,10.1,118.7,µg-m3,3
FR03029,AIX CENTRE ECOLE ART,PM10,22.923,22.337,12.107,6.725,44.7,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,PM2.5,18.07,18.025,10.875,1.65,36.65,µg-m3,2
FR03030,GARDANNE,PM10,32.34,31.963,12.3,14.375,54.775,µg-m3,2
FR03030,GARDANNE,PM2.5,22.478,22.55,12.022,4.125,43.975,µg-m3,3
FR03032,AUBAGNE LES PASSONS,NO,5.292,2.5,5.853,0.425,18.65,µg-m3,1
FR03032,AUBAGNE LES PASSONS,NO2,27.223,26.775,14.112,7.4,60.25,µg-m3,2
FR03032,AUBAGNE LES PASSONS,O3,26.34,14.438,20.976,3.625,65.0,µg-m3,2
FR03032,AUBAGNE LES PASSONS,NOX as NO2,35.344,30.087,21.365,8.075,86.5,µg-m3,2
