id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,1.196,0.925,1.021,0.2,5.075,µg-m3,1
FR01011,Metz-Centre,NO2,15.073,13.325,5.483,8.675,32.8,µg-m3,1
FR01011,Metz-Centre,O3,48.797,52.225,14.028,19.025,70.825,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,16.821,15.5,6.507,9.55,40.45,µg-m3,2
FR01011,Metz-Centre,PM10,10.716,10.537,3.292,2.825,16.95,µg-m3,1
FR01011,Metz-Centre,PM2.5,7.952,7.188,3.223,2.225,16.2,µg-m3,1
FR01012,Metz-Borny,NO,2.68,2.312,1.862,0.825,9.05,µg-m3,1
FR01012,Metz-Borny,NO2,20.476,19.262,7.131,8.925,37.625,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,24.576,22.212,9.303,10.175,51.45,µg-m3,2
FR01012,Metz-Borny,PM10,11.306,11.575,3.361,2.85,17.95,µg-m3,1
FR01014,Pont-à-Mousson,PM10,11.28,10.175,4.999,4.425,25.825,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,15.093,13.975,7.407,6.3,29.4,µg-m3,1
FR01016,Atton,NO,1.567,0.375,3.11,0.0,12.75,µg-m3,1
FR01016,Atton,NO2,10.082,7.95,6.732,3.725,31.45,µg-m3,1
FR01016,Atton,NOX as NO2,11.939,8.7,10.803,3.775,51.025,µg-m3,2
FR01018,Scy-Chazelles,NO,1.23,1.262,0.409,0.575,2.1,µg-m3,1
FR01018,Scy-Chazelles,NO2,10.966,9.975,3.257,7.15,18.85,µg-m3,1
FR01018,Scy-Chazelles,O3,52.861,54.925,14.487,29.75,76.225,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,12.866,11.575,3.517,8.5,22.075,µg-m3,1
FR01019,Thionville-Piscine,NO,2.059,1.512,1.219,0.875,5.2,µg-m3,1
FR01019,Thionville-Piscine,NO2,14.071,14.137,8.387,2.5,31.0,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,17.225,16.0,9.552,4.35,34.35,µg-m3,1
FR01019,Thionville-Piscine,PM10,12.914,13.1,3.351,6.7,18.8,µg-m3,1
FR01020,Thionville-Centre,NO,8.086,7.45,3.671,3.325,16.075,µg-m3,1
FR01020,Thionville-Centre,NO2,20.596,19.038,9.483,6.925,38.075,µg-m3,1
FR01020,Thionville-Centre,O3,46.199,38.075,16.892,23.325,72.55,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,32.989,30.65,14.121,12.05,58.275,µg-m3,2
FR01020,Thionville-Centre,PM10,11.183,11.325,3.043,4.85,15.775,µg-m3,1
FR01020,Thionville-Centre,PM2.5,3.74,3.425,1.941,0.0,7.525,µg-m3,1
FR01021,Thionville-Garche,O3,57.08,60.388,19.643,23.275,83.5,µg-m3,2
FR01064,Metz- Pont Grilles,NO,23.887,22.7,20.743,0.9,84.5,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,31.245,28.725,15.517,8.725,62.975,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,67.772,64.812,46.554,11.05,192.3,µg-m3,4
FR01064,Metz- Pont Grilles,PM10,17.086,13.875,7.689,5.275,35.6,µg-m3,1
FR01065,Belleville sur Meuse,NO,20.109,8.887,30.214,1.925,119.25,µg-m3,1
FR01065,Belleville sur Meuse,NO2,22.852,16.525,15.563,8.075,59.4,µg-m3,2
FR01065,Belleville sur Meuse,PM2.5,10.042,9.762,3.776,5.0,20.325,µg-m3,2
FR02001,Berre l'Etang,O3,47.384,48.458,7.029,30.15,58.5,µg-m3,2
FR02001,Berre l'Etang,C6H6,0.546,0.473,0.284,0.325,1.725,µg-m3,0
FR02004,Martigues P. Central,SO2,1.014,0.825,0.532,0.233,2.0,µg-m3,1
