id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,5.537,1.1,9.57,0.2,28.75,µg-m3,1
FR01011,Metz-Centre,NO2,18.404,16.95,8.701,7.05,37.325,µg-m3,1
FR01011,Metz-Centre,O3,35.189,41.513,16.849,2.167,53.175,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,26.789,18.125,22.731,7.3,81.1,µg-m3,2
FR01011,Metz-Centre,PM10,21.179,17.85,16.927,2.225,55.175,µg-m3,2
FR01011,Metz-Centre,PM2.5,15.324,13.325,9.226,4.1,28.575,µg-m3,2
FR01012,Metz-Borny,NO,8.852,2.713,15.871,0.975,59.6,µg-m3,1
FR01012,Metz-Borny,NO2,21.663,18.8,9.355,10.1,46.875,µg-m3,2
FR01012,Metz-Borny,NOX as NO2,35.241,23.725,32.78,11.65,134.175,µg-m3,4
FR01012,Metz-Borny,PM10,14.554,12.363,7.304,1.325,27.0,µg-m3,1
FR01014,Pont-à-Mousson,PM10,17.515,17.962,8.006,6.225,31.925,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,21.624,20.862,8.236,7.6,33.1,µg-m3,2
FR01016,Atton,NO,4.035,1.9,3.801,0.35,15.6,µg-m3,1
FR01016,Atton,NO2,14.211,12.975,5.529,7.175,26.875,µg-m3,1
FR01016,Atton,NOX as NO2,20.421,16.188,10.887,7.775,50.8,µg-m3,2
FR01018,Scy-Chazelles,NO,3.392,1.038,6.375,0.45,27.3,µg-m3,1
FR01018,Scy-Chazelles,NO2,16.311,16.113,6.907,7.225,31.225,µg-m3,1
FR01018,Scy-Chazelles,O3,41.977,45.575,16.407,8.133,60.55,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,21.527,18.188,15.146,8.25,73.125,µg-m3,2
FR01019,Thionville-Piscine,NO,3.369,1.788,3.663,0.9,13.95,µg-m3,1
FR01019,Thionville-Piscine,NO2,14.157,13.375,7.129,4.45,29.325,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,19.326,15.975,12.046,5.85,50.675,µg-m3,2
FR01019,Thionville-Piscine,PM10,18.055,12.45,9.202,8.0,33.975,µg-m3,1
FR01020,Thionville-Centre,NO,9.162,5.9,8.03,3.05,34.7,µg-m3,1
FR01020,Thionville-Centre,NO2,20.666,19.25,7.289,8.95,35.825,µg-m3,1
FR01020,Thionville-Centre,O3,32.678,38.538,20.95,2.15,60.95,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,34.715,28.012,18.796,13.575,89.05,µg-m3,2
FR01020,Thionville-Centre,PM10,17.462,15.163,9.839,5.925,34.175,µg-m3,1
FR01020,Thionville-Centre,PM2.5,7.484,7.4,3.336,2.675,14.15,µg-m3,1
FR01021,Thionville-Garche,O3,43.343,53.05,21.874,10.8,70.45,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,21.52,21.925,3.305,14.425,25.8,µg-m3,2
FR01064,Metz- Pont Grilles,NO,13.314,2.513,21.332,0.475,84.95,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,22.471,18.525,12.223,8.975,52.775,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,42.788,21.3,43.359,9.775,173.65,µg-m3,4
FR01064,Metz- Pont Grilles,PM10,19.654,10.725,17.873,2.0,58.175,µg-m3,1
FR01065,Belleville sur Meuse,NO,12.674,12.975,9.059,2.625,31.675,µg-m3,1
FR01065,Belleville sur Meuse,NO2,18.105,16.95,7.849,7.7,34.225,µg-m3,1
FR01065,Belleville sur Meuse,NOX as NO2,37.438,37.65,21.095,11.775,75.6,µg-m3,2
FR01065,Belleville sur Meuse,PM2.5,13.703,14.325,7.786,3.2,35.7,µg-m3,2
FR02001,Berre l'Etang,O3,20.586,16.312,16.325,1.7,53.675,µg-m3,2
FR02001,Berre l'Etang,C6H6,6.01,5.456,3.268,1.498,13.67,µg-m3,0
FR02004,Martigues P. Central,SO2,1.455,1.558,0.546,0.475,2.4,µg-m3,1
FR02004,Martigues P. Central,O3,38.294,36.912,13.288,17.625,65.6,µg-m3,2
FR02006,Martigues Laurons,SO2,1.583,0.8,2.217,0.2,9.4,µg-m3,1
FR02007,Martigues La Gatasse,SO2,2.925,1.738,2.584,0.225,10.675,µg-m3,1
FR02008,Port de Bouc Leque,SO2,1.614,1.5,0.645,0.725,2.925,µg-m3,1
FR02008,Port de Bouc Leque,PM10,27.942,29.35,10.557,10.3,47.825,µg-m3,2
FR02008,Port de Bouc Leque,PM2.5,17.993,15.05,7.638,7.05,31.525,µg-m3,2
FR02009,Port Saint Louis,PM10,22.292,21.9,10.615,8.225,43.55,µg-m3,2
FR02011,Fos sur Mer,SO2,2.39,2.525,1.583,0.1,5.125,µg-m3,1
FR02012,Istres,O3,31.537,30.637,13.448,6.9,58.35,µg-m3,2
FR02013,Fos Les Carabins,SO2,1.234,1.3,0.634,0.0,2.3,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,20.332,15.863,11.818,7.8,46.05,µg-m3,3
FR02020,Rognac les Brets,PM2.5,24.114,26.6,11.498,7.4,46.15,µg-m3,3
FR02021,Sausset les Pins,SO2,1.915,1.725,0.949,0.533,4.8,µg-m3,1
FR02021,Sausset les Pins,O3,53.966,50.525,13.11,34.625,78.35,µg-m3,2
FR02022,Arles,NO,2.904,3.237,1.832,0.0,5.575,µg-m3,1
FR02022,Arles,NO2,16.805,16.362,6.876,4.933,30.65,µg-m3,1
FR02022,Arles,O3,36.223,36.025,10.751,17.35,57.95,µg-m3,2
FR02022,Arles,NOX as NO2,21.249,23.512,8.562,4.9,39.225,µg-m3,1
FR02022,Arles,PM10,20.834,22.675,7.384,7.075,31.2,µg-m3,2
FR02022,Arles,PM2.5,16.066,15.538,6.341,5.125,28.475,µg-m3,2
FR02028,Martigues Lavera,SO2,2.269,2.379,0.629,1.275,3.333,µg-m3,1
FR02028,Martigues Lavera,C6H6,0.705,0.508,0.492,0.203,1.942,µg-m3,0
FR02029,Chateauneuf La Mede,PM10,31.431,30.363,12.578,13.025,64.0,µg-m3,2
FR02041,SALON,NO,9.411,3.175,14.036,0.3,45.8,µg-m3,1
FR02041,SALON,NO2,21.869,16.3,13.082,6.275,49.25,µg-m3,2
FR02041,SALON,O3,32.816,36.2,15.766,5.325,55.1,µg-m3,2
FR02041,SALON,NOX as NO2,36.316,22.325,33.006,6.775,113.575,µg-m3,3
FR02041,SALON,PM10,33.562,25.4,19.969,10.925,71.8,µg-m3,2
FR02041,SALON,PM2.5,25.76,17.788,18.251,10.325,67.7,µg-m3,4
FR02043,Marignane,NO,54.549,43.588,52.588,6.825,203.525,µg-m3,3
FR02043,Marignane,NO2,47.531,43.962,16.458,25.7,80.4,µg-m3,2
FR02043,Marignane,NOX as NO2,131.162,114.0,93.16,36.125,376.45,µg-m3,6
FR02043,Marignane,PM10,50.268,47.038,17.158,25.35,76.85,µg-m3,4
FR02043,Marignane,PM2.5,39.117,34.925,14.078,19.7,66.45,µg-m3,4
FR03006,MARSEILLE RABATAU,NO,74.92,46.987,56.494,15.425,198.7,µg-m3,1
FR03006,MARSEILLE RABATAU,NO2,69.566,71.537,18.486,42.05,101.225,µg-m3,3
FR03006,MARSEILLE RABATAU,NOX as NO2,183.486,141.55,103.436,74.45,403.125,µg-m3,6
FR03006,MARSEILLE RABATAU,PM10,53.704,48.75,22.45,25.0,122.7,µg-m3,4
FR03006,MARSEILLE RABATAU,PM2.5,25.733,22.55,14.147,7.8,55.0,µg-m3,4
FR03014,MARSEILLE ST LOUIS,NO,28.344,24.075,34.052,1.2,131.525,µg-m3,1
FR03014,MARSEILLE ST LOUIS,NO2,51.861,58.263,20.821,15.275,81.45,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NOX as NO2,95.32,95.775,67.846,17.075,279.2,µg-m3,5
