id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,2.345,1.613,1.87,0.3,8.925,µg-m3,1
FR01011,Metz-Centre,NO2,20.896,18.288,9.647,8.175,40.075,µg-m3,2
FR01011,Metz-Centre,O3,29.904,37.425,14.232,2.7,42.2,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,24.393,20.975,12.128,8.45,52.7,µg-m3,2
FR01011,Metz-Centre,PM2.5,13.905,14.15,2.799,8.2,20.075,µg-m3,2
FR01012,Metz-Borny,NO,1.983,1.875,1.381,0.375,4.35,µg-m3,1
FR01012,Metz-Borny,NO2,19.626,16.962,6.871,12.45,35.6,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,21.946,20.337,8.414,11.85,41.575,µg-m3,2
FR01012,Metz-Borny,PM10,14.235,14.275,3.49,7.9,21.65,µg-m3,1
FR01014,Pont-à-Mousson,PM10,13.921,14.512,4.364,3.825,22.675,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,22.995,23.625,6.459,10.8,34.2,µg-m3,2
FR01016,Atton,NO,3.916,2.05,3.895,0.475,15.15,µg-m3,1
FR01016,Atton,NO2,14.866,12.85,6.135,7.075,32.475,µg-m3,1
FR01016,Atton,NOX as NO2,20.889,15.95,11.946,7.875,55.75,µg-m3,2
FR01018,Scy-Chazelles,NO,1.516,1.45,0.896,0.45,4.175,µg-m3,1
FR01018,Scy-Chazelles,NO2,15.94,15.925,4.888,8.25,33.275,µg-m3,1
FR01018,Scy-Chazelles,O3,38.426,45.425,15.438,4.325,51.825,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,18.276,18.138,6.049,9.2,39.7,µg-m3,1
FR01019,Thionville-Piscine,NO,1.18,1.025,0.595,0.475,2.825,µg-m3,1
FR01019,Thionville-Piscine,NO2,8.87,7.125,4.544,4.675,20.7,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,10.678,8.762,5.276,5.525,23.825,µg-m3,1
FR01019,Thionville-Piscine,PM10,14.575,14.95,4.177,7.0,22.975,µg-m3,1
FR01020,Thionville-Centre,NO,7.536,6.888,4.481,3.65,23.25,µg-m3,1
FR01020,Thionville-Centre,NO2,17.369,16.8,7.04,8.35,36.5,µg-m3,1
FR01020,Thionville-Centre,O3,38.86,41.3,12.492,2.425,51.55,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,28.929,27.487,13.62,13.95,71.575,µg-m3,2
FR01020,Thionville-Centre,PM10,13.685,14.0,4.647,5.525,26.425,µg-m3,1
FR01020,Thionville-Centre,PM2.5,8.001,7.725,3.134,4.6,16.125,µg-m3,1
FR01021,Thionville-Garche,O3,47.052,49.588,11.936,8.45,59.625,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,10.027,8.975,3.857,5.0,19.575,µg-m3,1
FR01064,Metz- Pont Grilles,NO,9.955,7.075,8.778,0.425,28.6,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,23.533,23.163,10.842,7.475,41.925,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,38.689,38.075,22.991,8.15,85.325,µg-m3,2
FR01064,Metz- Pont Grilles,PM10,18.049,18.0,2.965,13.125,24.2,µg-m3,1
FR01065,Belleville sur Meuse,NO,18.334,15.912,14.366,2.95,55.65,µg-m3,1
FR01065,Belleville sur Meuse,NO2,22.539,21.438,11.212,7.4,47.85,µg-m3,2
FR01065,Belleville sur Meuse,NOX as NO2,50.624,45.513,32.927,12.225,131.6,µg-m3,4
FR01065,Belleville sur Meuse,PM2.5,15.744,13.125,9.701,5.625,43.05,µg-m3,2
FR02001,Berre l'Etang,O3,57.872,60.775,7.806,40.975,67.5,µg-m3,2
FR02001,Berre l'Etang,C6H6,0.82,0.318,1.394,0.215,6.003,µg-m3,0
FR02004,Martigues P. Central,SO2,1.516,1.587,0.351,0.825,2.1,µg-m3,1
FR02004,Martigues P. Central,O3,63.189,64.763,7.22,39.625,72.05,µg-m3,2
