id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,0.922,0.837,0.662,0.05,2.225,µg-m3,1
FR01011,Metz-Centre,NO2,16.201,14.637,8.8,5.025,35.1,µg-m3,1
FR01011,Metz-Centre,O3,51.862,51.537,7.427,40.625,64.475,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,17.398,15.762,9.739,5.1,38.325,µg-m3,1
FR01011,Metz-Centre,PM2.5,2.7,2.7,1.665,0.15,5.775,µg-m3,1
FR01012,Metz-Borny,NO,1.325,1.15,1.093,0.2,2.8,µg-m3,1
FR01012,Metz-Borny,NO2,10.144,7.425,6.864,3.375,28.175,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,9.476,6.213,7.984,1.875,30.3,µg-m3,1
FR01012,Metz-Borny,PM10,1.882,1.45,1.419,0.425,5.375,µg-m3,1
FR01014,Pont-à-Mousson,PM10,3.254,3.188,2.327,0.05,10.15,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,5.589,5.525,0.72,3.9,6.925,µg-m3,1
FR01016,Atton,NO,0.606,0.6,0.48,0.0,1.475,µg-m3,1
FR01016,Atton,NO2,5.25,4.0,5.257,0.025,21.15,µg-m3,1
FR01016,Atton,NOX as NO2,7.419,4.475,5.731,0.375,22.625,µg-m3,1
FR01018,Scy-Chazelles,NO,0.468,0.45,0.2,0.15,0.8,µg-m3,1
FR01018,Scy-Chazelles,NO2,6.297,5.125,4.503,1.825,19.25,µg-m3,1
FR01018,Scy-Chazelles,O3,68.143,71.55,7.192,55.975,75.8,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,7.036,5.675,4.693,2.425,20.1,µg-m3,1
FR01019,Thionville-Piscine,NO,0.675,0.55,0.547,0.0,2.075,µg-m3,1
FR01019,Thionville-Piscine,NO2,9.613,9.075,7.417,0.7,26.7,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,10.209,9.925,8.282,0.025,29.775,µg-m3,1
FR01019,Thionville-Piscine,PM10,2.778,2.4,1.454,0.3,5.2,µg-m3,1
FR01020,Thionville-Centre,NO,5.599,5.05,2.237,3.05,9.225,µg-m3,1
FR01020,Thionville-Centre,NO2,15.378,14.025,9.696,2.575,30.225,µg-m3,1
FR01020,Thionville-Centre,O3,56.821,57.037,7.236,43.325,73.4,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,23.96,22.075,12.969,7.425,44.025,µg-m3,2
FR01020,Thionville-Centre,PM10,1.747,1.887,0.756,0.3,2.825,µg-m3,1
FR01020,Thionville-Centre,PM2.5,3.55,4.2,1.815,1.5,4.95,µg-m3,1
FR01021,Thionville-Garche,O3,66.189,66.875,7.647,53.025,82.275,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,3.686,3.912,0.747,2.4,4.7,µg-m3,1
FR01064,Metz- Pont Grilles,NO,16.382,11.188,15.671,0.825,53.975,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,22.728,22.6,16.755,2.55,52.05,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,47.749,38.05,40.181,3.9,134.825,µg-m3,4
FR01064,Metz- Pont Grilles,PM10,3.386,3.625,1.812,0.0,6.875,µg-m3,1
FR01065,Belleville sur Meuse,NO,15.699,7.6,16.005,1.875,56.125,µg-m3,1
FR01065,Belleville sur Meuse,NO2,17.88,13.725,16.003,2.025,50.65,µg-m3,2
FR01065,Belleville sur Meuse,NOX as NO2,41.856,26.775,40.049,5.25,136.65,µg-m3,4
FR01065,Belleville sur Meuse,PM2.5,3.999,3.4,2.477,0.625,9.65,µg-m3,1
FR02001,Berre l'Etang,O3,31.306,31.812,13.081,1.8,52.225,µg-m3,2
FR02001,Berre l'Etang,C6H6,2.599,1.634,2.536,0.468,11.297,µg-m3,0
FR02004,Martigues P. Central,SO2,1.538,1.637,0.773,0.325,2.875,µg-m3,1
FR02004,Martigues P. Central,O3,37.549,39.325,15.17,13.6,62.0,µg-m3,2
FR02006,Martigues Laurons,SO2,0.851,0.9,0.387,0.267,1.45,µg-m3,1
FR02007,Martigues La Gatasse,SO2,1.925,2.062,0.428,0.975,2.525,µg-m3,1
FR02008,Port de Bouc Leque,SO2,3.277,3.15,0.788,1.475,5.1,µg-m3,1
FR02008,Port de Bouc Leque,PM10,34.262,31.625,12.171,23.05,71.775,µg-m3,2
FR02008,Port de Bouc Leque,PM2.5,17.327,15.8,5.441,9.225,28.9,µg-m3,2
FR02009,Port Saint Louis,SO2,2.01,2.1,0.588,1.125,3.125,µg-m3,1
FR02009,Port Saint Louis,PM10,29.103,30.413,8.413,13.975,44.775,µg-m3,2
FR02011,Fos sur Mer,SO2,0.667,0.75,0.53,0.1,1.15,µg-m3,1
FR02012,Istres,O3,22.575,22.337,12.136,0.967,40.725,µg-m3,1
FR02013,Fos Les Carabins,SO2,1.245,1.325,0.435,0.45,1.9,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,17.002,16.225,3.858,12.025,24.9,µg-m3,2
FR02020,Rognac les Brets,PM2.5,10.532,10.175,3.362,5.9,16.825,µg-m3,2
FR02021,Sausset les Pins,SO2,2.096,2.1,1.302,0.2,4.65,µg-m3,1
FR02021,Sausset les Pins,O3,56.737,62.312,14.209,21.7,68.075,µg-m3,2
FR02022,Arles,NO,10.558,7.15,10.284,1.375,43.75,µg-m3,1
FR02022,Arles,NO2,26.815,27.087,5.4,18.4,38.65,µg-m3,1
FR02022,Arles,O3,11.531,11.738,6.646,1.85,28.175,µg-m3,1
