id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,4.436,4.45,2.611,0.25,11.6,µg-m3,1
FR01011,Metz-Centre,NO2,20.4,21.087,5.805,7.325,29.85,µg-m3,1
FR01011,Metz-Centre,O3,17.027,16.175,8.967,0.775,44.45,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,27.148,28.488,9.541,7.775,47.55,µg-m3,2
FR01011,Metz-Centre,PM10,11.933,10.188,5.084,6.3,22.125,µg-m3,1
FR01011,Metz-Centre,PM2.5,13.247,11.7,5.277,1.3,22.075,µg-m3,2
FR01012,Metz-Borny,NO,3.065,2.2,3.325,0.7,16.725,µg-m3,1
FR01012,Metz-Borny,NO2,16.709,15.275,7.321,8.2,37.3,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,21.404,19.45,11.914,9.325,62.9,µg-m3,2
FR01012,Metz-Borny,PM10,10.489,9.075,3.878,3.875,17.075,µg-m3,1
FR01014,Pont-à-Mousson,PM10,20.571,17.387,9.748,5.8,43.85,µg-m3,2
FR01015,Blénod-lès-PAM,PM10,14.789,13.825,5.247,6.2,24.6,µg-m3,1
FR01016,Atton,NO,2.801,2.237,2.51,0.1,12.175,µg-m3,1
FR01016,Atton,NO2,11.561,9.488,6.044,4.525,24.7,µg-m3,1
FR01016,Atton,NOX as NO2,15.507,12.637,9.457,4.475,43.425,µg-m3,2
FR01018,Scy-Chazelles,NO,3.208,1.025,5.895,0.35,26.175,µg-m3,1
FR01018,Scy-Chazelles,NO2,14.924,11.363,8.942,6.225,34.95,µg-m3,1
FR01018,Scy-Chazelles,O3,24.076,30.075,12.578,2.275,46.375,µg-m3,1
FR01018,Scy-Chazelles,NOX as NO2,19.854,12.65,16.565,6.975,66.45,µg-m3,2
FR01019,Thionville-Piscine,NO,7.662,3.55,9.64,0.95,33.425,µg-m3,1
FR01019,Thionville-Piscine,NO2,20.135,17.038,11.704,4.15,44.7,µg-m3,2
FR01019,Thionville-Piscine,NOX as NO2,31.897,23.075,25.854,5.625,95.95,µg-m3,3
FR01019,Thionville-Piscine,PM10,13.973,14.8,5.736,2.2,24.2,µg-m3,1
FR01020,Thionville-Centre,NO,13.51,9.975,11.538,3.075,52.0,µg-m3,1
FR01020,Thionville-Centre,NO2,22.985,20.7,10.366,8.325,41.075,µg-m3,2
FR01020,Thionville-Centre,O3,18.876,18.775,13.827,1.025,55.7,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,43.704,36.9,27.097,13.15,118.925,µg-m3,3
FR01020,Thionville-Centre,PM10,15.134,14.15,6.96,4.75,30.425,µg-m3,1
FR01020,Thionville-Centre,PM2.5,8.148,8.537,2.302,3.025,11.3,µg-m3,1
FR01021,Thionville-Garche,O3,26.307,27.65,13.861,3.7,59.95,µg-m3,2
FR01064,Metz- Pont Grilles,NO,26.561,31.75,19.673,0.8,63.975,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,28.076,29.175,11.01,9.15,48.075,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,68.723,75.575,40.257,11.8,146.05,µg-m3,4
FR01064,Metz- Pont Grilles,PM10,13.234,14.3,5.588,3.825,23.45,µg-m3,1
FR01065,Belleville sur Meuse,NO,35.774,24.05,32.143,3.2,114.275,µg-m3,1
FR01065,Belleville sur Meuse,NO2,27.663,26.2,13.674,9.525,56.325,µg-m3,2
FR01065,Belleville sur Meuse,NOX as NO2,82.472,61.275,62.288,14.45,231.6,µg-m3,5
FR01065,Belleville sur Meuse,PM2.5,14.544,14.6,5.522,5.3,23.075,µg-m3,2
FR02001,Berre l'Etang,O3,18.08,24.45,13.732,1.967,41.375,µg-m3,1
FR02001,Berre l'Etang,C6H6,4.736,3.765,2.922,1.81,13.693,µg-m3,0
FR02004,Martigues P. Central,SO2,1.614,1.658,0.216,1.133,1.975,µg-m3,1
FR02004,Martigues P. Central,O3,33.24,30.95,11.539,15.233,48.875,µg-m3,1
FR02006,Martigues Laurons,SO2,3.94,3.45,2.156,0.85,9.125,µg-m3,1
FR02007,Martigues La Gatasse,SO2,2.565,1.55,2.307,0.775,8.725,µg-m3,1
FR02008,Port de Bouc Leque,SO2,2.089,2.05,0.425,1.275,3.1,µg-m3,1
FR02008,Port de Bouc Leque,PM10,36.454,38.25,8.762,18.225,52.35,µg-m3,2
FR02008,Port de Bouc Leque,PM2.5,23.732,23.012,8.878,8.825,42.925,µg-m3,3
FR02009,Port Saint Louis,PM10,29.454,32.175,13.476,5.275,59.075,µg-m3,2
FR02011,Fos sur Mer,SO2,9.585,2.337,12.075,0.75,30.075,µg-m3,1
FR02012,Istres,O3,27.152,28.283,7.309,11.5,39.45,µg-m3,1
FR02013,Fos Les Carabins,SO2,1.451,1.25,0.658,0.675,2.6,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,19.249,19.125,6.685,8.825,32.45,µg-m3,2
FR02020,Rognac les Brets,PM2.5,18.573,19.225,6.452,9.1,29.325,µg-m3,2
FR02021,Sausset les Pins,SO2,1.797,1.262,1.489,0.1,5.925,µg-m3,1
FR02021,Sausset les Pins,O3,51.744,52.825,11.945,29.65,71.367,µg-m3,2
FR02022,Arles,NO,7.999,5.6,6.625,1.05,24.3,µg-m3,1
FR02022,Arles,NO2,27.605,25.962,8.442,12.6,53.025,µg-m3,2
FR02022,Arles,O3,21.084,17.204,10.785,4.7,40.0,µg-m3,1
FR02022,Arles,NOX as NO2,39.873,34.725,17.407,14.2,84.825,µg-m3,2
FR02022,Arles,PM10,33.277,35.037,13.163,10.9,56.8,µg-m3,2
FR02022,Arles,PM2.5,26.336,30.025,10.21,9.8,43.075,µg-m3,4
FR02028,Martigues Lavera,SO2,3.647,3.1,1.32,2.125,6.7,µg-m3,1
FR02028,Martigues Lavera,C6H6,2.166,1.971,1.386,0.62,6.675,µg-m3,0
FR02029,Chateauneuf La Mede,PM10,39.188,41.4,10.75,17.35,62.6,µg-m3,2
FR02041,SALON,NO,33.729,28.875,35.753,1.25,128.075,µg-m3,1
FR02041,SALON,NO2,33.96,32.538,9.601,17.35,48.25,µg-m3,2
FR02041,SALON,O3,13.096,10.0,10.998,1.35,30.225,µg-m3,1
FR02041,SALON,NOX as NO2,85.686,80.963,58.683,19.25,235.975,µg-m3,5
FR02041,SALON,PM10,48.833,49.8,10.974,31.1,72.625,µg-m3,3
FR02041,SALON,PM2.5,40.278,38.95,10.187,24.933,68.95,µg-m3,4
FR02043,Marignane,NO,31.223,17.15,36.552,1.1,142.925,µg-m3,1
FR02043,Marignane,NO2,40.791,38.888,14.081,15.95,65.35,µg-m3,2
FR02043,Marignane,NOX as NO2,88.698,62.888,66.717,17.65,278.575,µg-m3,5
FR02043,Marignane,PM10,47.005,48.55,16.299,22.75,85.0,µg-m3,3
FR02043,Marignane,PM2.5,36.396,37.35,10.736,19.35,54.5,µg-m3,4
FR03006,MARSEILLE RABATAU,NO,42.13,41.075,28.477,6.225,100.275,µg-m3,1
FR03006,MARSEILLE RABATAU,NO2,57.979,61.6,14.182,36.675,79.45,µg-m3,2
FR03006,MARSEILLE RABATAU,NOX as NO2,121.608,110.113,56.028,48.5,232.2,µg-m3,5
FR03006,MARSEILLE RABATAU,PM10,43.283,41.6,13.609,24.5,71.5,µg-m3,3
FR03006,MARSEILLE RABATAU,PM2.5,20.792,19.2,6.213,13.1,36.2,µg-m3,3
FR03014,MARSEILLE ST LOUIS,NO,16.808,7.925,22.016,1.45,73.85,µg-m3,1
FR03014,MARSEILLE ST LOUIS,NO2,39.707,38.575,16.974,10.825,71.025,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NOX as NO2,65.478,48.162,48.923,13.1,184.225,µg-m3,4
FR03014,MARSEILLE ST LOUIS,PM10,39.081,33.538,23.501,14.2,128.8,µg-m3,2
FR03014,MARSEILLE ST LOUIS,PM2.5,24.086,22.562,9.884,10.65,49.35,µg-m3,3
FR03021,AIX ROY RENE,NO,42.046,35.375,27.023,6.9,113.875,µg-m3,1
FR03021,AIX ROY RENE,NO2,44.233,40.688,15.066,21.7,70.25,µg-m3,2
FR03021,AIX ROY RENE,NOX as NO2,108.728,101.312,52.803,40.55,232.95,µg-m3,5
FR03021,AIX ROY RENE,PM10,36.116,36.35,11.855,16.45,54.625,µg-m3,2
FR03027,PLAN AUPS/STE  BAUME,O3,66.823,71.025,11.811,38.6,77.225,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NO,21.982,11.3,28.758,1.1,110.725,µg-m3,1
FR03029,AIX CENTRE ECOLE ART,NO2,34.928,33.025,14.712,9.65,62.35,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NOX as NO2,68.649,60.375,50.376,11.35,213.075,µg-m3,4
FR03029,AIX CENTRE ECOLE ART,PM10,38.051,37.462,12.381,19.8,55.575,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,PM2.5,26.201,24.363,10.216,11.925,43.775,µg-m3,4
FR03030,GARDANNE,PM10,56.105,55.8,16.566,29.725,85.75,µg-m3,4
FR03030,GARDANNE,PM2.5,35.525,32.913,8.862,20.35,52.225,µg-m3,4
FR03032,AUBAGNE LES PASSONS,NO,4.92,0.85,8.529,0.075,31.775,µg-m3,1
FR03032,AUBAGNE LES PASSONS,NO2,26.585,22.113,15.732,7.0,66.025,µg-m3,2
FR03032,AUBAGNE LES PASSONS,O3,31.377,30.925,13.714,2.95,51.15,µg-m3,2
FR03032,AUBAGNE LES PASSONS,NOX as NO2,33.139,24.4,26.758,6.5,114.8,µg-m3,3
FR03037,VALLEE HUVEAUNE,O3,17.669,17.85,13.482,0.2,43.075,µg-m3,1
FR03037,VALLEE HUVEAUNE,C6H6,3.564,3.163,1.823,1.448,8.12,µg-m3,0
FR03043,MARSEILLE 5 AVENUES,SO2,1.277,1.325,0.632,0.15,2.15,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO,5.096,3.75,3.715,0.325,12.1,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO2,37.32,39.462,13.305,12.55,55.575,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,O3,23.868,20.025,12.79,7.95,56.75,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,NOX as NO2,44.802,47.188,17.98,13.65,72.1,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,PM10,26.103,25.712,8.935,13.575,46.825,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,PM2.5,19.957,18.375,6.735,11.25,34.925,µg-m3,2
FR03048,AIX PLATANES,O3,25.699,17.0,14.953,11.525,56.65,µg-m3,2
FR03060,LA SEYNE GENOUD,NO,4.336,4.812,2.956,0.775,9.625,µg-m3,1
FR03060,LA SEYNE GENOUD,NO2,21.53,17.0,12.819,6.375,48.15,µg-m3,2
FR03060,LA SEYNE GENOUD,NOX as NO2,28.199,24.35,16.583,8.175,59.575,µg-m3,2
FR03067,BRIGNOLES,O3,21.159,24.663,14.109,0.525,44.075,µg-m3,1
FR03067,BRIGNOLES,PM10,32.674,35.312,9.531,14.1,50.625,µg-m3,2
FR03068,TOULON FOCH,NO,15.053,14.113,12.801,0.7,43.875,µg-m3,1
FR03068,TOULON FOCH,NO2,30.012,26.8,20.183,3.15,68.225,µg-m3,2
FR03068,TOULON FOCH,NOX as NO2,53.097,46.737,38.869,4.25,135.475,µg-m3,4
FR03068,TOULON FOCH,PM10,23.279,22.987,7.55,11.75,35.975,µg-m3,2
FR03069,HYERES,O3,52.783,56.312,18.046,10.3,76.033,µg-m3,2
FR03069,HYERES,PM10,22.25,20.062,9.058,8.875,51.025,µg-m3,2
FR03070,ESTEREL,NO,14.658,3.888,27.031,0.8,119.45,µg-m3,1
FR03070,ESTEREL,NO2,20.806,19.487,13.979,4.567,47.475,µg-m3,2
FR03070,ESTEREL,O3,20.31,14.038,19.042,1.775,53.95,µg-m3,2
FR03070,ESTEREL,NOX as NO2,43.281,30.638,47.822,6.6,215.65,µg-m3,4
FR03070,ESTEREL,PM10,39.599,36.175,18.469,17.85,93.875,µg-m3,2
FR03070,ESTEREL,PM2.5,29.855,25.3,14.823,15.1,80.675,µg-m3,4
FR03071,TOULON CLARET,NO,2.647,1.863,2.479,0.225,8.825,µg-m3,1
FR03071,TOULON CLARET,NO2,16.165,14.35,9.521,4.233,40.275,µg-m3,2
FR03071,TOULON CLARET,NOX as NO2,20.22,20.05,11.916,4.767,45.925,µg-m3,2
FR03071,TOULON CLARET,PM10,21.71,21.188,5.404,12.575,32.975,µg-m3,2
FR03071,TOULON CLARET,PM2.5,9.474,8.837,3.911,4.225,20.725,µg-m3,1
FR03080,AVIGNON   MAIRIE,NO,5.821,2.2,9.364,1.6,33.55,µg-m3,1
FR03080,AVIGNON   MAIRIE,NO2,18.37,17.675,4.001,13.775,28.35,µg-m3,1
FR03080,AVIGNON   MAIRIE,O3,19.204,17.025,10.687,5.125,39.2,µg-m3,1
FR03080,AVIGNON   MAIRIE,NOX as NO2,27.307,20.45,18.023,16.825,79.8,µg-m3,2
FR03080,AVIGNON   MAIRIE,PM10,39.614,37.138,11.544,26.0,74.3,µg-m3,2
FR03080,AVIGNON   MAIRIE,PM2.5,32.673,30.688,6.846,23.375,49.625,µg-m3,4
FR03084,LE PONTET,NO,28.562,16.475,29.352,3.6,115.875,µg-m3,1
FR03084,LE PONTET,NO2,33.8,31.863,10.837,15.975,63.875,µg-m3,2
FR03084,LE PONTET,NOX as NO2,77.616,56.542,52.818,21.525,241.55,µg-m3,5
FR03086,APT,O3,26.758,26.337,23.924,0.375,75.6,µg-m3,2
FR03087,Avignon Semard,NO,46.116,31.15,46.714,1.925,162.975,µg-m3,1
FR03087,Avignon Semard,NO2,41.83,39.962,14.477,16.75,78.75,µg-m3,2
FR03087,Avignon Semard,NOX as NO2,112.562,89.188,82.247,19.775,321.225,µg-m3,5
FR03087,Avignon Semard,PM10,42.001,38.963,12.054,20.225,71.125,µg-m3,3
FR03088,CARPENTRAS,O3,14.56,13.238,8.77,2.425,31.1,µg-m3,1
FR04002,GENNEVILLIERS,NO,6.934,3.15,7.257,2.05,31.65,µg-m3,1
FR04002,GENNEVILLIERS,NO2,34.16,33.288,8.351,23.1,56.2,µg-m3,2
FR04002,GENNEVILLIERS,NOX as NO2,44.812,38.225,18.815,28.05,104.75,µg-m3,3
FR04002,GENNEVILLIERS,PM10,21.14,20.663,5.369,12.9,33.45,µg-m3,2
FR04002,GENNEVILLIERS,PM2.5,17.589,17.812,4.332,11.15,28.65,µg-m3,2
FR04004,PARIS 18eme,NO,11.076,6.037,10.194,3.275,42.5,µg-m3,1
FR04004,PARIS 18eme,NO2,42.414,41.1,7.933,32.125,56.475,µg-m3,2
FR04004,PARIS 18eme,O3,16.885,16.225,10.286,1.6,37.05,µg-m3,1
FR04004,PARIS 18eme,NOX as NO2,59.415,49.075,21.909,40.85,119.6,µg-m3,3
FR04004,PARIS 18eme,PM10,24.359,22.337,6.083,17.725,36.15,µg-m3,2
FR04004,PARIS 18eme,PM2.5,18.999,18.113,3.815,14.175,29.075,µg-m3,2
FR04012,Place Victor Basch,NO,45.795,51.325,15.486,15.525,69.65,µg-m3,1
FR04012,Place Victor Basch,NO2,40.646,40.537,7.455,28.375,53.075,µg-m3,2
FR04012,Place Victor Basch,NOX as NO2,110.866,123.35,30.553,53.5,158.65,µg-m3,4
FR04012,Place Victor Basch,PM10,31.824,30.05,8.66,20.525,49.175,µg-m3,2
FR04014,PARIS 12eme,NO,8.324,5.312,7.676,0.55,30.725,µg-m3,1
FR04014,PARIS 12eme,NO2,37.253,36.925,10.884,15.75,57.85,µg-m3,2
FR04014,PARIS 12eme,NOX as NO2,50.033,45.487,21.747,16.65,104.975,µg-m3,3
FR04017,NEUILLY-SUR-SEINE,NO,10.308,7.4,6.09,3.8,25.825,µg-m3,1
FR04017,NEUILLY-SUR-SEINE,NO2,39.621,37.6,8.888,26.15,56.3,µg-m3,2
FR04017,NEUILLY-SUR-SEINE,O3,14.973,14.0,9.165,1.8,29.7,µg-m3,1
FR04017,NEUILLY-SUR-SEINE,NOX as NO2,55.445,55.763,14.618,32.0,86.5,µg-m3,2
FR04018,AUBERVILLIERS,NO,10.766,5.0,12.29,0.275,41.2,µg-m3,1
FR04018,AUBERVILLIERS,NO2,43.519,43.675,7.896,29.9,60.0,µg-m3,2
FR04018,AUBERVILLIERS,NOX as NO2,60.996,50.575,25.693,31.55,124.275,µg-m3,4
FR04023,CERGY-PONTOISE,O3,29.19,31.35,9.996,8.5,44.7,µg-m3,1
FR04023,CERGY-PONTOISE,PM10,24.528,25.2,4.66,14.675,32.125,µg-m3,2
FR04024,GONESSE,NO,5.08,0.538,7.265,0.0,22.725,µg-m3,1
FR04024,GONESSE,NO2,30.044,33.163,10.307,12.8,43.075,µg-m3,2
FR04024,GONESSE,NOX as NO2,37.417,35.0,20.157,11.225,77.725,µg-m3,2
FR04024,GONESSE,PM2.5,18.305,17.137,5.173,11.7,30.2,µg-m3,2
FR04029,VERSAILLES,NO,4.196,2.038,4.861,0.075,16.625,µg-m3,1
