id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,0.808,0.85,0.429,0.1,1.375,µg-m3,1
FR01011,Metz-Centre,NO2,8.879,8.475,6.614,0.475,22.95,µg-m3,1
FR01011,Metz-Centre,O3,58.356,58.525,7.817,40.9,69.9,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,10.065,10.1,7.07,1.1,25.0,µg-m3,1
FR01011,Metz-Centre,PM2.5,5.233,5.513,2.117,1.375,8.75,µg-m3,1
FR01012,Metz-Borny,NO2,6.58,7.05,2.327,3.6,10.625,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,5.473,5.9,2.533,1.9,10.275,µg-m3,1
FR01012,Metz-Borny,PM10,7.07,7.588,2.809,0.775,11.375,µg-m3,1
FR01014,Pont-à-Mousson,PM10,8.558,8.463,3.854,0.825,16.225,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,14.216,11.9,5.945,7.4,24.8,µg-m3,1
FR01016,Atton,NO,0.334,0.25,0.222,0.05,0.725,µg-m3,1
FR01016,Atton,NO2,2.216,2.225,0.902,0.15,3.825,µg-m3,1
FR01016,Atton,NOX as NO2,2.687,2.675,0.94,1.55,5.0,µg-m3,1
FR01018,Scy-Chazelles,NO,0.335,0.325,0.115,0.125,0.525,µg-m3,1
FR01018,Scy-Chazelles,NO2,3.236,3.213,1.306,1.7,6.7,µg-m3,1
FR01018,Scy-Chazelles,NOX as NO2,3.77,3.737,1.382,2.025,7.3,µg-m3,1
FR01019,Thionville-Piscine,NO,0.605,0.625,0.288,0.175,1.1,µg-m3,1
FR01019,Thionville-Piscine,NO2,6.462,5.675,3.527,1.0,13.3,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,6.754,6.825,4.095,0.05,14.575,µg-m3,1
FR01019,Thionville-Piscine,PM10,10.543,11.1,3.995,0.4,17.7,µg-m3,1
FR01020,Thionville-Centre,NO,4.378,4.675,0.907,3.0,6.175,µg-m3,1
FR01020,Thionville-Centre,NO2,9.83,9.825,4.5,2.5,17.75,µg-m3,1
FR01020,Thionville-Centre,O3,60.522,60.812,6.382,51.55,71.075,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,16.545,16.55,5.709,7.05,27.15,µg-m3,1
FR01020,Thionville-Centre,PM10,9.123,9.9,3.662,0.75,14.525,µg-m3,1
FR01021,Thionville-Garche,O3,67.159,70.6,8.438,51.3,77.525,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,14.664,12.863,5.54,4.95,26.1,µg-m3,1
FR01064,Metz- Pont Grilles,NO,9.858,10.662,8.09,0.55,27.975,µg-m3,1
