id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,3.517,2.0,4.1,0.175,15.4,µg-m3,1
FR01011,Metz-Centre,NO2,18.746,14.0,12.273,6.425,45.275,µg-m3,2
FR01011,Metz-Centre,O3,31.685,33.825,14.284,5.225,50.975,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,24.038,18.1,18.112,6.925,68.775,µg-m3,2
FR01011,Metz-Centre,PM2.5,9.915,9.35,2.689,5.3,17.175,µg-m3,1
FR01012,Metz-Borny,NO,3.709,3.25,2.439,0.525,9.0,µg-m3,1
FR01012,Metz-Borny,NO2,20.487,17.15,11.743,7.575,41.3,µg-m3,2
FR01012,Metz-Borny,NOX as NO2,23.595,21.675,15.546,6.05,49.375,µg-m3,2
FR01012,Metz-Borny,PM10,12.496,12.488,2.098,6.95,16.375,µg-m3,1
FR01014,Pont-à-Mousson,PM10,18.069,15.85,9.578,8.4,46.025,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,19.005,18.05,5.836,11.3,29.5,µg-m3,1
FR01016,Atton,NO,2.33,1.025,3.466,0.1,13.3,µg-m3,1
FR01016,Atton,NO2,10.326,7.1,7.678,3.725,30.675,µg-m3,1
FR01016,Atton,NOX as NO2,13.407,8.913,12.466,3.2,51.15,µg-m3,2
FR01018,Scy-Chazelles,NO,2.886,1.65,2.866,0.325,10.975,µg-m3,1
FR01018,Scy-Chazelles,NO2,15.279,10.025,10.587,4.825,36.5,µg-m3,1
FR01018,Scy-Chazelles,O3,34.599,40.175,17.815,3.3,60.65,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,19.72,13.562,14.45,6.375,53.35,µg-m3,2
FR01019,Thionville-Piscine,NO,2.28,2.062,1.389,0.8,6.65,µg-m3,1
FR01019,Thionville-Piscine,NO2,17.13,17.0,9.335,5.675,33.375,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,20.622,22.025,10.633,7.225,43.525,µg-m3,2
FR01019,Thionville-Piscine,PM10,15.392,15.1,2.619,9.8,20.1,µg-m3,1
FR01020,Thionville-Centre,NO,8.295,7.925,3.783,3.85,18.0,µg-m3,1
FR01020,Thionville-Centre,NO2,21.943,22.825,9.551,6.8,35.925,µg-m3,1
FR01020,Thionville-Centre,O3,30.851,30.587,12.651,8.675,56.375,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,34.667,35.975,13.765,12.7,63.575,µg-m3,2
FR01020,Thionville-Centre,PM10,13.287,13.463,2.528,8.175,18.3,µg-m3,1
FR01020,Thionville-Centre,PM2.5,5.51,5.65,1.602,3.05,10.35,µg-m3,1
FR01021,Thionville-Garche,O3,36.915,38.35,10.398,13.775,54.95,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,28.21,25.837,14.363,9.5,54.3,µg-m3,2
FR01064,Metz- Pont Grilles,NO,28.264,30.775,23.374,0.95,72.4,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,30.459,29.85,16.405,6.0,55.625,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,73.715,82.475,48.781,7.425,159.575,µg-m3,4
FR01064,Metz- Pont Grilles,PM10,17.433,18.4,4.317,7.95,24.675,µg-m3,1
FR01065,Belleville sur Meuse,NO,24.837,20.125,20.23,1.925,68.825,µg-m3,1
FR01065,Belleville sur Meuse,NO2,25.76,24.825,13.896,5.525,44.7,µg-m3,2
FR01065,Belleville sur Meuse,NOX as NO2,63.816,59.112,43.43,8.5,145.225,µg-m3,4
FR01065,Belleville sur Meuse,PM2.5,14.582,11.887,9.957,5.525,49.775,µg-m3,2
FR02001,Berre l'Etang,O3,52.509,52.737,6.451,40.975,63.925,µg-m3,2
FR02001,Berre l'Etang,C6H6,0.552,0.323,0.456,0.2,1.64,µg-m3,0
FR02004,Martigues P. Central,SO2,0.325,0.325,0.22,0.025,0.675,µg-m3,1
FR02004,Martigues P. Central,O3,54.874,54.975,6.484,42.8,68.3,µg-m3,2
FR02006,Martigues Laurons,SO2,1.628,1.525,1.1,0.35,5.2,µg-m3,1
FR02007,Martigues La Gatasse,SO2,0.772,0.788,0.297,0.075,1.275,µg-m3,1
FR02008,Port de Bouc Leque,SO2,3.389,3.087,2.051,0.633,11.75,µg-m3,1
FR02008,Port de Bouc Leque,PM10,12.773,12.525,3.328,7.3,20.375,µg-m3,1
FR02008,Port de Bouc Leque,PM2.5,8.773,8.887,1.877,4.025,11.075,µg-m3,1
FR02009,Port Saint Louis,SO2,2.423,2.5,0.876,0.933,4.325,µg-m3,1
FR02009,Port Saint Louis,PM10,10.011,9.838,2.522,4.825,15.2,µg-m3,1
FR02011,Fos sur Mer,SO2,2.121,2.087,0.454,1.467,2.9,µg-m3,1
FR02012,Istres,O3,49.985,49.225,6.823,38.55,64.667,µg-m3,2
FR02013,Fos Les Carabins,SO2,0.908,0.837,0.437,0.15,1.667,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,6.793,6.262,2.993,2.125,17.15,µg-m3,1
FR02020,Rognac les Brets,PM2.5,4.525,3.587,3.334,0.85,14.05,µg-m3,1
FR02021,Sausset les Pins,SO2,2.139,2.275,0.446,1.175,2.925,µg-m3,1
FR02021,Sausset les Pins,O3,54.112,53.85,5.056,47.3,65.933,µg-m3,2
FR02022,Arles,NO,1.199,1.2,0.779,0.05,2.4,µg-m3,1
FR02022,Arles,NO2,5.859,6.238,2.313,1.225,9.075,µg-m3,1
FR02022,Arles,O3,57.33,56.75,5.203,46.7,68.975,µg-m3,2
FR02022,Arles,NOX as NO2,7.358,8.038,3.324,0.975,12.3,µg-m3,1
FR02022,Arles,PM10,8.493,6.787,3.053,5.3,14.225,µg-m3,1
FR02022,Arles,PM2.5,3.868,4.013,0.773,2.5,5.325,µg-m3,1
FR02028,Martigues Lavera,SO2,2.289,2.4,0.465,1.067,2.875,µg-m3,1
FR02028,Martigues Lavera,C6H6,0.262,0.241,0.142,0.12,0.65,µg-m3,0
FR02029,Chateauneuf La Mede,SO2,1.611,1.375,0.804,0.175,2.975,µg-m3,1
FR02029,Chateauneuf La Mede,PM10,15.093,14.363,3.664,10.125,28.075,µg-m3,1
FR02041,SALON,NO,0.748,0.637,0.456,0.1,1.55,µg-m3,1
FR02041,SALON,NO2,5.933,5.862,2.567,2.225,11.2,µg-m3,1
FR02041,SALON,O3,55.032,53.963,4.978,49.1,65.367,µg-m3,2
FR02041,SALON,NOX as NO2,7.096,7.1,3.079,2.6,13.075,µg-m3,1
FR02041,SALON,PM10,7.456,7.688,1.447,4.975,9.8,µg-m3,1
FR02041,SALON,PM2.5,4.933,4.562,1.095,3.65,7.15,µg-m3,1
FR02043,Marignane,SO2,2.447,2.45,0.392,1.7,3.275,µg-m3,1
FR02043,Marignane,NO,14.725,6.6,23.461,0.15,90.1,µg-m3,1
FR02043,Marignane,NO2,23.701,17.125,18.431,3.375,68.275,µg-m3,2
FR02043,Marignane,CO,0.256,0.252,0.031,0.222,0.325,mg-m3,0
FR02043,Marignane,NOX as NO2,46.271,26.312,52.848,3.775,206.575,µg-m3,4
FR02043,Marignane,PM10,17.028,8.65,17.469,5.3,68.25,µg-m3,1
FR02043,Marignane,PM2.5,13.324,4.8,17.272,3.5,62.875,µg-m3,2
FR03006,MARSEILLE RABATAU,NO,29.739,18.363,28.595,2.167,113.825,µg-m3,1
FR03006,MARSEILLE RABATAU,NO2,35.015,32.862,19.093,6.2,65.7,µg-m3,2
FR03006,MARSEILLE RABATAU,NOX as NO2,79.654,59.025,60.526,9.267,239.225,µg-m3,5
FR03006,MARSEILLE RABATAU,PM10,25.599,22.0,16.499,10.425,65.975,µg-m3,2
FR03006,MARSEILLE RABATAU,PM2.5,11.717,6.188,13.381,1.225,46.875,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NO,4.653,4.513,3.351,0.325,10.85,µg-m3,1
FR03014,MARSEILLE ST LOUIS,NO2,22.694,23.913,12.772,3.45,45.025,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NOX as NO2,29.816,30.35,16.763,3.95,61.15,µg-m3,2
FR03014,MARSEILLE ST LOUIS,PM10,11.605,10.287,5.583,4.2,23.25,µg-m3,1
FR03014,MARSEILLE ST LOUIS,PM2.5,7.445,5.3,4.686,2.6,17.35,µg-m3,1
FR03021,AIX ROY RENE,NO,50.535,46.938,46.958,0.75,152.625,µg-m3,1
FR03021,AIX ROY RENE,NO2,37.118,39.175,21.182,3.625,66.825,µg-m3,2
FR03021,AIX ROY RENE,NOX as NO2,114.641,114.0,91.71,4.825,300.9,µg-m3,5
FR03021,AIX ROY RENE,PM10,25.931,22.688,22.815,4.75,108.125,µg-m3,2
FR03027,PLAN AUPS/STE  BAUME,O3,54.53,60.1,10.337,35.175,66.375,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NO,34.446,11.325,47.316,0.05,189.8,µg-m3,1
FR03029,AIX CENTRE ECOLE ART,NO2,31.166,25.413,23.551,1.875,78.15,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NOX as NO2,83.992,42.337,93.879,1.975,369.2,µg-m3,6
FR03029,AIX CENTRE ECOLE ART,PM10,21.073,15.1,14.399,5.825,50.45,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,PM2.5,12.273,8.2,10.111,3.325,34.475,µg-m3,2
FR03030,GARDANNE,PM10,27.374,26.275,12.58,9.625,49.775,µg-m3,2
FR03030,GARDANNE,PM2.5,15.682,8.825,12.139,4.7,41.4,µg-m3,2
FR03032,AUBAGNE LES PASSONS,NO,2.632,2.025,3.483,0.0,17.1,µg-m3,1
FR03032,AUBAGNE LES PASSONS,NO2,16.085,12.037,12.799,2.25,45.275,µg-m3,2
FR03032,AUBAGNE LES PASSONS,O3,44.306,49.088,17.269,13.95,63.575,µg-m3,2
FR03032,AUBAGNE LES PASSONS,NOX as NO2,19.951,14.5,16.964,2.125,71.0,µg-m3,2
FR03037,VALLEE HUVEAUNE,O3,27.863,27.688,25.49,0.625,64.85,µg-m3,2
FR03037,VALLEE HUVEAUNE,C6H6,2.776,2.776,1.83,1.482,4.07,µg-m3,0
FR03043,MARSEILLE 5 AVENUES,SO2,1.497,1.5,1.141,0.05,5.25,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO,9.862,4.85,12.425,0.375,52.55,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO2,27.232,23.488,17.971,4.35,57.075,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,O3,36.013,40.55,22.298,2.3,64.667,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,NOX as NO2,40.334,31.188,34.238,2.925,137.625,µg-m3,4
FR03043,MARSEILLE 5 AVENUES,PM10,12.743,9.113,9.88,4.15,41.1,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,PM2.5,8.166,4.325,8.433,2.45,34.275,µg-m3,1
FR03048,AIX PLATANES,O3,36.002,42.875,19.548,3.15,63.533,µg-m3,2
FR03060,LA SEYNE GENOUD,NO,19.227,12.625,22.669,0.875,79.875,µg-m3,1
FR03060,LA SEYNE GENOUD,NO2,28.568,27.6,16.022,5.075,57.225,µg-m3,2
FR03060,LA SEYNE GENOUD,NOX as NO2,58.055,44.45,49.282,7.125,178.275,µg-m3,4
FR03067,BRIGNOLES,O3,52.165,56.725,10.064,34.575,66.3,µg-m3,2
FR03067,BRIGNOLES,PM10,13.893,11.275,6.918,7.5,31.85,µg-m3,1
FR03068,TOULON FOCH,NO,39.017,29.188,35.212,0.45,118.9,µg-m3,1
FR03068,TOULON FOCH,NO2,40.886,43.862,24.264,4.05,76.85,µg-m3,2
FR03068,TOULON FOCH,NOX as NO2,100.71,88.612,77.16,4.9,259.125,µg-m3,5
FR03068,TOULON FOCH,PM10,24.035,19.413,15.908,5.225,49.3,µg-m3,2
FR03069,HYERES,O3,60.361,61.688,7.321,47.35,72.8,µg-m3,2
FR03069,HYERES,PM10,4.046,3.9,1.876,0.925,7.475,µg-m3,1
FR03070,ESTEREL,NO,2.993,1.425,5.465,0.125,25.125,µg-m3,1
FR03070,ESTEREL,NO2,11.317,7.912,9.774,2.25,39.6,µg-m3,1
FR03070,ESTEREL,O3,42.832,44.188,15.833,4.325,61.467,µg-m3,2
FR03070,ESTEREL,NOX as NO2,15.902,10.075,17.653,2.7,78.15,µg-m3,2
FR03070,ESTEREL,PM10,15.732,12.025,10.514,4.825,43.8,µg-m3,1
FR03070,ESTEREL,PM2.5,13.141,8.85,10.304,3.9,39.15,µg-m3,2
FR03071,TOULON CLARET,NO,17.254,13.087,15.904,0.025,49.525,µg-m3,1
FR03071,TOULON CLARET,NO2,33.261,35.975,22.098,1.425,58.8,µg-m3,2
FR03071,TOULON CLARET,O3,41.127,43.75,33.241,2.2,86.6,µg-m3,2
FR03071,TOULON CLARET,NOX as NO2,59.706,58.062,44.929,1.75,131.45,µg-m3,4
FR03071,TOULON CLARET,PM10,22.909,17.2,14.82,4.225,53.35,µg-m3,2
FR03071,TOULON CLARET,PM2.5,11.246,4.863,12.544,0.975,38.05,µg-m3,2
FR03080,AVIGNON   MAIRIE,NO,1.173,1.337,0.582,0.225,1.95,µg-m3,1
FR03080,AVIGNON   MAIRIE,NO2,5.296,5.475,1.799,1.875,8.625,µg-m3,1
FR03080,AVIGNON   MAIRIE,O3,53.711,52.65,3.939,46.975,62.867,µg-m3,2
FR03080,AVIGNON   MAIRIE,NOX as NO2,7.11,7.85,2.416,2.45,11.425,µg-m3,1
FR03080,AVIGNON   MAIRIE,PM10,6.689,6.662,1.198,4.45,9.2,µg-m3,1
FR03080,AVIGNON   MAIRIE,PM2.5,4.768,4.725,0.915,2.825,6.7,µg-m3,1
FR03084,LE PONTET,NO,3.446,3.525,0.98,1.725,4.95,µg-m3,1
FR03084,LE PONTET,NO2,7.704,7.25,2.2,3.5,12.575,µg-m3,1
FR03084,LE PONTET,NOX as NO2,13.006,13.412,3.29,6.45,19.05,µg-m3,1
FR03086,APT,O3,38.816,45.038,20.233,5.85,61.367,µg-m3,2
FR03087,Avignon Semard,NO,3.686,4.175,2.195,0.625,7.05,µg-m3,1
FR03087,Avignon Semard,NO2,7.775,8.288,2.512,2.65,11.05,µg-m3,1
FR03087,Avignon Semard,NOX as NO2,13.44,14.887,5.61,3.6,21.575,µg-m3,1
