id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,19.43,13.838,18.88,2.6,79.575,µg-m3,1
FR01011,Metz-Centre,NO2,32.062,32.15,3.947,25.025,40.2,µg-m3,2
FR01011,Metz-Centre,O3,3.997,4.4,2.86,0.075,8.75,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,61.736,55.212,30.816,29.1,162.125,µg-m3,4
FR01012,Metz-Borny,NO,20.261,17.312,18.394,2.625,82.725,µg-m3,1
FR01012,Metz-Borny,NO2,32.962,33.587,4.151,26.325,41.45,µg-m3,2
FR01012,Metz-Borny,NOX as NO2,64.027,60.4,28.371,33.425,163.85,µg-m3,4
FR01012,Metz-Borny,PM10,19.554,18.625,5.465,12.05,37.475,µg-m3,1
FR01014,Pont-à-Mousson,PM10,26.062,25.5,6.667,16.85,38.2,µg-m3,2
FR01015,Blénod-lès-PAM,PM10,35.263,34.8,10.146,19.7,52.7,µg-m3,2
FR01016,Atton,NO,27.593,18.225,24.696,4.925,80.45,µg-m3,1
FR01016,Atton,NO2,33.77,32.575,4.492,27.6,41.425,µg-m3,2
FR01016,Atton,NOX as NO2,76.1,57.45,36.078,46.175,155.9,µg-m3,4
FR01018,Scy-Chazelles,NO,23.2,17.212,21.472,0.9,58.975,µg-m3,1
FR01018,Scy-Chazelles,NO2,28.541,29.362,6.31,18.775,38.1,µg-m3,1
FR01018,Scy-Chazelles,O3,6.813,7.0,3.827,2.267,13.575,µg-m3,1
FR01018,Scy-Chazelles,NOX as NO2,64.126,58.875,28.893,27.0,110.45,µg-m3,3
FR01019,Thionville-Piscine,NO,12.618,10.85,13.109,2.55,68.15,µg-m3,1
FR01019,Thionville-Piscine,NO2,29.412,29.15,5.757,19.525,37.025,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,48.762,44.975,19.069,27.5,128.025,µg-m3,4
FR01019,Thionville-Piscine,PM10,18.422,18.95,6.744,6.2,29.8,µg-m3,1
FR01020,Thionville-Centre,NO,16.83,17.35,9.211,5.35,52.7,µg-m3,1
FR01020,Thionville-Centre,NO2,30.888,30.7,4.543,23.575,38.075,µg-m3,1
FR01020,Thionville-Centre,O3,5.265,2.475,4.17,1.9,12.875,µg-m3,1
FR01020,Thionville-Centre,NOX as NO2,56.691,57.35,13.791,31.75,107.65,µg-m3,3
FR01020,Thionville-Centre,PM10,19.435,20.875,7.095,8.75,31.9,µg-m3,1
FR01020,Thionville-Centre,PM2.5,11.19,11.575,3.183,6.65,17.3,µg-m3,2
FR01021,Thionville-Garche,O3,6.263,3.975,5.454,1.0,16.175,µg-m3,1
FR01059,HAYANGE-MARSPICH,PM10,29.968,27.362,6.041,23.925,41.1,µg-m3,2
FR01064,Metz- Pont Grilles,NO,30.012,28.012,23.572,6.925,101.3,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,35.13,33.312,5.291,29.375,44.8,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,80.983,78.112,38.047,41.975,194.45,µg-m3,4
FR01064,Metz- Pont Grilles,PM10,20.9,21.15,6.514,9.775,35.225,µg-m3,2
FR01065,Belleville sur Meuse,NO,32.208,31.112,20.318,7.75,103.225,µg-m3,1
FR01065,Belleville sur Meuse,NO2,28.086,30.575,8.96,14.2,41.125,µg-m3,2
FR01065,Belleville sur Meuse,PM2.5,31.178,31.212,8.637,18.075,49.075,µg-m3,4
FR02001,Berre l'Etang,O3,22.131,7.412,27.986,3.45,92.875,µg-m3,2
FR02001,Berre l'Etang,C6H6,7.417,8.025,2.593,2.455,12.188,µg-m3,0
FR02004,Martigues P. Central,SO2,1.858,1.6,1.311,0.375,7.4,µg-m3,1
FR02004,Martigues P. Central,O3,26.914,27.775,14.121,4.075,51.0,µg-m3,2
FR02006,Martigues Laurons,SO2,1.997,1.054,2.021,0.275,8.325,µg-m3,1
FR02007,Martigues La Gatasse,SO2,2.037,1.467,1.838,0.775,8.4,µg-m3,1
FR02008,Port de Bouc Leque,SO2,3.22,2.579,1.893,1.4,10.75,µg-m3,1
FR02008,Port de Bouc Leque,PM10,47.035,47.837,14.357,25.725,71.15,µg-m3,3
FR02008,Port de Bouc Leque,PM2.5,40.514,42.862,14.212,16.4,67.05,µg-m3,4
FR02009,Port Saint Louis,PM10,42.849,36.013,21.17,16.225,105.375,µg-m3,3
FR02011,Fos sur Mer,SO2,0.672,0.558,0.473,0.15,1.7,µg-m3,1
FR02012,Istres,O3,17.583,6.65,20.514,0.25,56.9,µg-m3,2
FR02013,Fos Les Carabins,SO2,1.386,0.95,0.987,0.1,3.35,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,43.542,40.4,19.941,14.975,91.625,µg-m3,4
FR02020,Rognac les Brets,PM2.5,43.816,42.388,12.95,26.525,74.175,µg-m3,4
FR02021,Sausset les Pins,SO2,3.752,2.658,2.854,0.825,12.925,µg-m3,1
FR02021,Sausset les Pins,O3,25.917,22.05,12.749,11.55,56.9,µg-m3,2
FR02022,Arles,NO,14.845,9.975,16.562,1.225,54.0,µg-m3,1
FR02022,Arles,NO2,37.993,32.312,15.592,23.35,71.7,µg-m3,2
FR02022,Arles,O3,17.235,14.475,10.247,4.35,39.125,µg-m3,1
FR02022,Arles,NOX as NO2,60.749,42.7,39.994,25.2,154.475,µg-m3,4
FR02022,Arles,PM10,47.384,46.812,8.911,28.1,61.95,µg-m3,3
FR02022,Arles,PM2.5,41.996,42.15,7.158,25.6,54.35,µg-m3,4
FR02028,Martigues Lavera,SO2,3.405,2.479,2.356,1.733,12.375,µg-m3,1
FR02028,Martigues Lavera,C6H6,15.618,3.57,35.425,0.72,172.493,µg-m3,0
FR02029,Chateauneuf La Mede,PM10,49.434,50.987,10.535,29.075,67.8,µg-m3,3
FR02041,SALON,NO,29.355,22.425,23.94,2.525,87.125,µg-m3,1
FR02041,SALON,NO2,35.295,33.2,13.376,13.55,61.95,µg-m3,2
FR02041,SALON,O3,17.269,9.188,19.42,1.375,61.8,µg-m3,2
FR02041,SALON,NOX as NO2,80.321,70.662,48.123,17.45,195.625,µg-m3,4
FR02041,SALON,PM10,64.378,59.075,26.006,27.8,111.375,µg-m3,4
FR02041,SALON,PM2.5,58.703,55.037,25.682,23.25,105.025,µg-m3,5
FR02043,Marignane,NO,37.198,28.75,30.239,6.875,120.7,µg-m3,1
FR02043,Marignane,NO2,56.518,52.046,14.836,41.625,90.45,µg-m3,3
FR02043,Marignane,NOX as NO2,113.557,90.137,59.279,55.6,274.1,µg-m3,5
FR02043,Marignane,PM10,62.186,62.95,15.113,29.8,84.425,µg-m3,4
FR02043,Marignane,PM2.5,54.486,56.275,14.082,25.05,76.375,µg-m3,5
FR03006,MARSEILLE RABATAU,NO,83.446,55.562,58.185,23.825,246.7,µg-m3,3
FR03006,MARSEILLE RABATAU,NO2,71.276,67.787,14.629,51.35,101.325,µg-m3,3
FR03006,MARSEILLE RABATAU,NOX as NO2,198.258,149.6,102.23,89.75,478.575,µg-m3,6
FR03006,MARSEILLE RABATAU,PM10,62.638,54.2,22.97,38.4,120.3,µg-m3,4
FR03006,MARSEILLE RABATAU,PM2.5,38.558,32.3,15.653,18.4,79.6,µg-m3,4
FR03014,MARSEILLE ST LOUIS,NO,45.758,33.962,40.22,3.45,146.6,µg-m3,1
FR03014,MARSEILLE ST LOUIS,NO2,63.861,63.138,12.803,43.7,86.55,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NOX as NO2,134.004,118.025,73.503,49.9,308.75,µg-m3,5
FR03014,MARSEILLE ST LOUIS,PM10,45.487,41.6,12.397,31.675,82.7,µg-m3,3
FR03014,MARSEILLE ST LOUIS,PM2.5,34.229,31.688,9.133,21.85,53.075,µg-m3,4
FR03021,AIX ROY RENE,NO,29.188,20.738,20.007,8.675,71.15,µg-m3,1
FR03021,AIX ROY RENE,NO2,54.964,46.987,21.371,36.6,112.525,µg-m3,3
FR03021,AIX ROY RENE,NOX as NO2,99.746,78.725,48.103,50.475,212.775,µg-m3,4
FR03021,AIX ROY RENE,PM10,32.878,28.975,14.77,15.15,68.2,µg-m3,2
FR03027,PLAN AUPS/STE  BAUME,O3,73.336,71.662,7.414,61.125,87.0,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NO,47.523,43.1,37.701,2.275,173.75,µg-m3,1
FR03029,AIX CENTRE ECOLE ART,NO2,53.679,51.087,20.433,19.1,107.425,µg-m3,3
FR03029,AIX CENTRE ECOLE ART,NOX as NO2,126.548,115.762,68.532,25.1,335.125,µg-m3,5
FR03029,AIX CENTRE ECOLE ART,PM10,44.324,39.438,22.62,12.775,98.575,µg-m3,3
FR03029,AIX CENTRE ECOLE ART,PM2.5,32.848,31.075,17.282,9.525,68.075,µg-m3,4
FR03030,GARDANNE,PM10,50.502,48.688,19.381,18.925,93.325,µg-m3,4
FR03030,GARDANNE,PM2.5,37.538,34.288,17.193,10.125,73.025,µg-m3,4
FR03032,AUBAGNE LES PASSONS,NO,11.967,8.713,11.315,0.625,47.575,µg-m3,1
FR03032,AUBAGNE LES PASSONS,NO2,46.995,43.462,16.779,20.8,87.025,µg-m3,2
FR03032,AUBAGNE LES PASSONS,O3,19.778,13.054,16.824,2.575,55.375,µg-m3,2
FR03032,AUBAGNE LES PASSONS,NOX as NO2,65.356,60.513,31.569,23.4,153.775,µg-m3,4
FR03037,VALLEE HUVEAUNE,O3,14.564,1.3,21.244,0.15,62.0,µg-m3,2
FR03037,VALLEE HUVEAUNE,C6H6,6.0,5.316,2.365,2.417,10.6,µg-m3,0
FR03043,MARSEILLE 5 AVENUES,SO2,2.069,1.725,1.118,0.775,5.35,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO,27.572,26.075,15.672,3.45,60.7,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO2,52.106,50.725,5.432,42.05,63.85,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,O3,10.468,2.188,14.021,1.2,47.475,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NOX as NO2,94.371,88.875,28.407,55.725,156.5,µg-m3,4
FR03043,MARSEILLE 5 AVENUES,PM10,46.868,42.125,11.897,31.55,68.575,µg-m3,3
FR03043,MARSEILLE 5 AVENUES,PM2.5,39.389,34.375,12.543,24.9,63.15,µg-m3,4
FR03048,AIX PLATANES,O3,27.916,22.6,23.39,3.1,81.2,µg-m3,2
FR03060,LA SEYNE GENOUD,NO,14.278,7.35,17.074,2.3,64.775,µg-m3,1
FR03060,LA SEYNE GENOUD,NO2,35.207,33.087,13.251,15.35,65.875,µg-m3,2
FR03060,LA SEYNE GENOUD,NOX as NO2,57.129,45.013,36.907,18.925,158.575,µg-m3,4
FR03067,BRIGNOLES,O3,37.101,33.725,14.344,15.4,61.667,µg-m3,2
FR03067,BRIGNOLES,PM10,30.93,23.725,17.048,10.5,74.325,µg-m3,2
FR03068,TOULON FOCH,NO,47.486,44.838,39.412,8.1,128.925,µg-m3,1
FR03068,TOULON FOCH,NO2,53.141,55.713,16.393,26.475,81.25,µg-m3,2
FR03068,TOULON FOCH,NOX as NO2,125.954,131.162,74.395,38.85,278.925,µg-m3,5
FR03068,TOULON FOCH,PM10,39.843,38.5,19.386,17.55,86.45,µg-m3,2
FR03069,HYERES,O3,39.178,34.838,17.355,11.45,71.675,µg-m3,2
FR03069,HYERES,PM10,20.249,16.663,11.493,8.625,54.975,µg-m3,2
FR03070,ESTEREL,NO,3.671,2.737,4.947,0.875,25.85,µg-m3,1
FR03070,ESTEREL,NO2,16.342,14.875,7.57,7.35,36.825,µg-m3,1
FR03070,ESTEREL,O3,33.414,31.142,21.551,3.175,70.85,µg-m3,2
FR03070,ESTEREL,NOX as NO2,21.971,19.3,11.322,8.95,57.55,µg-m3,2
FR03070,ESTEREL,PM10,27.822,19.4,16.626,13.425,62.3,µg-m3,2
FR03070,ESTEREL,PM2.5,25.264,17.587,17.767,7.7,60.4,µg-m3,4
FR03071,TOULON CLARET,NO,36.804,29.225,34.327,3.3,119.525,µg-m3,1
FR03071,TOULON CLARET,NO2,46.377,47.3,10.479,28.8,68.85,µg-m3,2
FR03071,TOULON CLARET,O3,18.425,2.85,23.409,0.45,60.85,µg-m3,2
FR03071,TOULON CLARET,NOX as NO2,102.784,90.7,60.646,36.625,238.4,µg-m3,5
FR03071,TOULON CLARET,PM10,43.973,36.188,22.109,15.75,96.65,µg-m3,3
FR03071,TOULON CLARET,PM2.5,30.386,22.913,20.348,9.4,76.8,µg-m3,4
FR03080,AVIGNON   MAIRIE,NO,40.631,19.837,59.048,3.675,234.525,µg-m3,3
FR03080,AVIGNON   MAIRIE,NO2,41.552,38.138,15.379,24.175,81.225,µg-m3,2
FR03080,AVIGNON   MAIRIE,O3,13.56,7.412,12.508,2.35,39.975,µg-m3,1
FR03080,AVIGNON   MAIRIE,NOX as NO2,103.859,68.062,104.311,32.275,435.625,µg-m3,6
FR03080,AVIGNON   MAIRIE,PM10,69.429,64.75,27.972,35.5,140.65,µg-m3,4
FR03080,AVIGNON   MAIRIE,PM2.5,63.677,60.1,25.849,31.6,131.95,µg-m3,5
FR03084,LE PONTET,NO,69.751,40.338,68.185,10.475,234.875,µg-m3,3
FR03084,LE PONTET,NO2,43.234,36.913,14.829,28.7,76.95,µg-m3,2
FR03084,LE PONTET,NOX as NO2,150.197,95.737,117.306,52.525,437.15,µg-m3,6
FR03086,APT,O3,28.706,16.587,23.588,4.625,71.95,µg-m3,2
FR03087,Avignon Semard,NO,132.206,86.625,127.04,24.2,502.625,µg-m3,3
FR03087,Avignon Semard,NO2,60.669,50.737,23.444,40.0,129.475,µg-m3,4
FR03087,Avignon Semard,NOX as NO2,263.408,184.938,216.555,91.575,900.175,µg-m3,6
FR03087,Avignon Semard,PM10,88.118,63.8,54.521,35.225,226.425,µg-m3,4
FR03088,CARPENTRAS,O3,28.365,24.438,11.95,11.05,52.825,µg-m3,2
FR04002,GENNEVILLIERS,NO,124.441,149.137,88.95,2.65,237.575,µg-m3,3
FR04002,GENNEVILLIERS,NO2,57.348,55.888,19.749,23.525,94.625,µg-m3,3
FR04002,GENNEVILLIERS,NOX as NO2,248.161,316.837,147.608,27.65,433.25,µg-m3,6
FR04002,GENNEVILLIERS,PM10,66.543,68.9,19.42,34.625,95.5,µg-m3,4
FR04002,GENNEVILLIERS,PM2.5,59.306,60.45,15.784,33.15,83.125,µg-m3,5
FR04004,PARIS 18eme,NO,138.119,150.675,95.327,7.05,300.025,µg-m3,3
FR04004,PARIS 18eme,NO2,67.229,68.412,22.668,27.2,114.35,µg-m3,3
FR04004,PARIS 18eme,O3,4.2,3.45,2.533,2.25,11.95,µg-m3,1
FR04004,PARIS 18eme,NOX as NO2,279.015,328.475,161.971,38.05,534.55,µg-m3,6
FR04004,PARIS 18eme,PM10,72.058,76.45,22.525,34.575,111.475,µg-m3,4
FR04004,PARIS 18eme,PM2.5,66.15,68.75,16.245,35.25,92.925,µg-m3,5
FR04012,Place Victor Basch,NO,171.294,166.137,89.994,34.2,350.025,µg-m3,3
FR04012,Place Victor Basch,NO2,70.619,66.812,25.325,23.375,109.075,µg-m3,3
FR04012,Place Victor Basch,NOX as NO2,333.281,321.6,159.496,80.1,633.425,µg-m3,6
FR04012,Place Victor Basch,PM10,76.025,74.787,23.118,32.975,109.375,µg-m3,4
FR04014,PARIS 12eme,NO,109.149,109.138,65.796,4.85,206.95,µg-m3,3
FR04014,PARIS 12eme,NO2,57.983,57.075,15.402,26.075,93.5,µg-m3,3
FR04014,PARIS 12eme,NOX as NO2,225.349,246.088,107.371,33.65,374.125,µg-m3,6
FR04017,NEUILLY-SUR-SEINE,NO,101.892,131.038,66.38,4.9,183.3,µg-m3,1
FR04017,NEUILLY-SUR-SEINE,NO2,57.61,55.925,22.084,19.05,102.85,µg-m3,3
FR04017,NEUILLY-SUR-SEINE,O3,4.458,3.05,4.346,1.35,18.65,µg-m3,1
FR04017,NEUILLY-SUR-SEINE,NOX as NO2,213.851,256.862,119.298,26.5,373.45,µg-m3,6
FR04018,AUBERVILLIERS,NO,158.635,156.838,112.899,1.725,328.475,µg-m3,3
FR04018,AUBERVILLIERS,NO2,63.511,66.338,19.309,25.45,98.1,µg-m3,3
FR04018,AUBERVILLIERS,NOX as NO2,307.7,336.65,183.553,29.0,580.275,µg-m3,6
FR04023,CERGY-PONTOISE,O3,8.923,5.6,7.539,1.15,22.15,µg-m3,1
FR04023,CERGY-PONTOISE,PM10,50.4,50.038,14.671,29.35,77.1,µg-m3,4
FR04024,GONESSE,NO,60.253,58.475,42.612,0.0,139.075,µg-m3,1
FR04024,GONESSE,NO2,36.426,32.987,12.007,18.375,62.925,µg-m3,2
FR04024,GONESSE,NOX as NO2,128.756,142.338,67.347,17.55,246.175,µg-m3,5
FR04024,GONESSE,PM2.5,44.183,46.388,8.228,27.5,55.575,µg-m3,4
FR04029,VERSAILLES,NO,43.188,29.7,43.846,0.625,147.425,µg-m3,1
FR04029,VERSAILLES,NO2,32.215,33.987,10.706,10.7,53.8,µg-m3,2
FR04029,VERSAILLES,O3,7.692,7.175,8.233,0.0,26.75,µg-m3,1
FR04029,VERSAILLES,NOX as NO2,98.373,80.537,76.619,11.7,279.625,µg-m3,5
FR04031,Av Champs Elysees,NO,131.98,149.887,78.025,21.9,258.7,µg-m3,3
FR04031,Av Champs Elysees,NO2,62.096,56.737,24.472,24.95,112.025,µg-m3,3
FR04031,Av Champs Elysees,NOX as NO2,264.478,285.038,137.713,59.225,462.525,µg-m3,6
FR04031,Av Champs Elysees,PM10,74.104,76.075,25.596,33.325,120.65,µg-m3,4
FR04034,VITRY-SUR-SEINE,SO2,1.904,1.575,1.26,0.0,4.225,µg-m3,1
FR04034,VITRY-SUR-SEINE,NO,145.457,90.513,125.641,0.75,389.025,µg-m3,3
FR04034,VITRY-SUR-SEINE,NO2,57.808,59.638,19.468,14.875,87.6,µg-m3,2
FR04034,VITRY-SUR-SEINE,O3,5.658,2.625,5.671,1.6,22.8,µg-m3,1
FR04034,VITRY-SUR-SEINE,NOX as NO2,280.793,204.887,203.599,15.95,678.075,µg-m3,6
FR04034,VITRY-SUR-SEINE,PM10,71.305,76.275,21.18,30.225,94.25,µg-m3,4
