id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,23.516,3.925,33.272,1.225,91.1,µg-m3,1
FR01011,Metz-Centre,NO2,15.18,9.238,10.71,5.875,39.45,µg-m3,1
FR01011,Metz-Centre,O3,9.182,9.775,7.442,0.05,23.75,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,51.123,16.975,59.73,8.025,170.625,µg-m3,4
FR01011,Metz-Centre,PM2.5,15.017,11.925,7.051,6.625,29.05,µg-m3,2
FR01012,Metz-Borny,NO,23.31,7.15,29.041,0.45,87.725,µg-m3,1
FR01012,Metz-Borny,NO2,17.437,10.85,11.506,6.65,41.225,µg-m3,2
FR01012,Metz-Borny,NOX as NO2,48.45,18.325,53.569,5.875,168.5,µg-m3,4
FR01012,Metz-Borny,PM10,10.564,8.8,5.174,4.6,26.125,µg-m3,1
FR01014,Pont-à-Mousson,PM10,17.744,12.912,11.82,7.4,46.65,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,8.669,5.7,6.765,2.3,22.1,µg-m3,1
FR01016,Atton,NO,12.875,6.05,16.241,0.025,51.1,µg-m3,1
FR01016,Atton,NO2,14.281,10.812,10.005,2.875,33.825,µg-m3,1
FR01016,Atton,NOX as NO2,32.371,21.25,33.454,2.7,106.675,µg-m3,3
FR01018,Scy-Chazelles,NO,9.556,3.925,10.71,0.775,31.3,µg-m3,1
FR01018,Scy-Chazelles,NO2,11.052,10.25,4.008,6.575,24.9,µg-m3,1
FR01018,Scy-Chazelles,NOX as NO2,25.724,16.413,19.254,8.475,72.9,µg-m3,2
FR01019,Thionville-Piscine,NO,3.841,2.275,3.977,0.5,13.575,µg-m3,1
FR01019,Thionville-Piscine,NO2,12.373,11.4,4.976,5.325,24.725,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,18.267,14.8,10.836,7.475,45.575,µg-m3,2
FR01019,Thionville-Piscine,PM10,12.011,11.312,3.722,5.7,20.2,µg-m3,1
FR01020,Thionville-Centre,NO,7.661,5.575,3.947,4.175,17.375,µg-m3,1
FR01020,Thionville-Centre,NO2,15.184,13.5,5.503,9.0,24.625,µg-m3,1
FR01020,Thionville-Centre,O3,13.647,12.088,8.375,2.0,29.05,µg-m3,1
