id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,18.808,9.5,23.553,0.55,84.35,µg-m3,1
FR01011,Metz-Centre,NO2,27.58,21.688,13.742,12.575,56.475,µg-m3,2
FR01011,Metz-Centre,O3,12.397,12.575,7.964,0.15,26.525,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,56.325,33.95,48.979,13.35,185.775,µg-m3,4
FR01011,Metz-Centre,PM2.5,19.564,17.7,6.811,10.8,34.025,µg-m3,2
FR01012,Metz-Borny,NO,13.595,11.15,10.652,1.425,40.425,µg-m3,1
FR01012,Metz-Borny,NO2,24.921,23.775,7.767,12.9,38.55,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,45.766,41.55,23.458,15.1,97.6,µg-m3,3
FR01012,Metz-Borny,PM10,16.587,16.363,5.998,7.725,30.0,µg-m3,1
FR01014,Pont-à-Mousson,PM10,25.14,19.05,12.879,13.65,61.2,µg-m3,2
FR01015,Blénod-lès-PAM,PM10,31.887,32.15,5.663,21.2,40.4,µg-m3,2
FR01016,Atton,NO,12.691,8.738,10.435,2.625,39.2,µg-m3,1
FR01016,Atton,NO2,25.353,22.875,7.418,14.8,37.55,µg-m3,1
FR01016,Atton,NOX as NO2,44.825,34.163,22.123,18.825,92.95,µg-m3,3
FR01018,Scy-Chazelles,NO,17.352,5.175,21.912,0.5,57.525,µg-m3,1
FR01018,Scy-Chazelles,NO2,22.57,20.062,8.859,12.5,43.275,µg-m3,2
FR01018,Scy-Chazelles,O3,16.048,19.1,9.859,2.55,28.925,µg-m3,1
FR01018,Scy-Chazelles,NOX as NO2,49.192,27.863,40.354,13.65,120.025,µg-m3,4
FR01019,Thionville-Piscine,NO,19.314,5.3,23.616,0.625,66.0,µg-m3,1
FR01019,Thionville-Piscine,NO2,18.155,15.05,9.283,7.5,40.775,µg-m3,2
FR01019,Thionville-Piscine,NOX as NO2,47.765,22.95,43.978,8.475,128.275,µg-m3,4
FR01019,Thionville-Piscine,PM10,21.516,18.55,10.812,8.4,40.975,µg-m3,2
FR01020,Thionville-Centre,NO,41.371,13.475,48.104,3.575,155.275,µg-m3,1
FR01020,Thionville-Centre,NO2,24.493,21.05,10.853,10.15,46.525,µg-m3,2
FR01020,Thionville-Centre,O3,16.712,19.9,11.304,2.0,32.275,µg-m3,1
FR01020,Thionville-Centre,NOX as NO2,87.916,41.612,82.624,15.625,275.875,µg-m3,5
FR01020,Thionville-Centre,PM10,22.907,16.812,15.224,8.25,59.5,µg-m3,2
FR01020,Thionville-Centre,PM2.5,12.77,9.525,7.758,6.175,33.925,µg-m3,2
FR01021,Thionville-Garche,O3,19.566,24.9,12.349,1.7,34.225,µg-m3,1
FR01059,HAYANGE-MARSPICH,PM10,28.509,22.612,21.175,3.7,64.5,µg-m3,2
FR01064,Metz- Pont Grilles,NO,28.316,11.45,31.584,0.8,110.675,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,27.87,21.575,13.632,13.05,56.625,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,71.186,39.15,61.546,14.15,226.275,µg-m3,4
FR01064,Metz- Pont Grilles,PM10,23.144,19.837,9.99,9.325,40.925,µg-m3,2
FR01065,Belleville sur Meuse,NO,28.814,28.375,19.261,2.35,64.25,µg-m3,1
FR01065,Belleville sur Meuse,NO2,25.728,25.25,11.001,9.475,51.875,µg-m3,2
FR01065,Belleville sur Meuse,NOX as NO2,69.83,68.5,39.737,13.1,144.75,µg-m3,4
FR01065,Belleville sur Meuse,PM2.5,21.134,16.4,12.497,8.225,53.3,µg-m3,3
FR02001,Berre l'Etang,O3,23.552,15.213,19.938,3.25,63.675,µg-m3,2
FR02001,Berre l'Etang,C6H6,8.212,5.969,6.43,1.285,28.547,µg-m3,0
FR02004,Martigues P. Central,SO2,2.126,1.775,1.198,0.525,4.7,µg-m3,1
FR02004,Martigues P. Central,O3,34.178,32.125,12.973,11.925,57.95,µg-m3,2
FR02006,Martigues Laurons,SO2,1.524,0.875,1.429,0.175,4.925,µg-m3,1
FR02007,Martigues La Gatasse,SO2,1.606,1.3,1.405,0.275,6.133,µg-m3,1
FR02008,Port de Bouc Leque,SO2,1.098,0.987,0.701,0.233,2.5,µg-m3,1
FR02008,Port de Bouc Leque,PM10,32.816,29.075,10.084,17.175,55.8,µg-m3,2
FR02008,Port de Bouc Leque,PM2.5,25.582,24.913,8.87,12.275,41.925,µg-m3,4
FR02009,Port Saint Louis,PM10,25.551,22.188,9.463,15.85,47.275,µg-m3,2
FR02011,Fos sur Mer,SO2,0.692,0.475,0.419,0.425,1.175,µg-m3,1
FR02012,Istres,O3,31.216,29.55,10.576,15.675,56.8,µg-m3,2
FR02013,Fos Les Carabins,SO2,2.469,2.013,2.137,0.875,9.85,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,25.865,20.812,12.18,12.75,49.875,µg-m3,4
FR02020,Rognac les Brets,PM2.5,29.531,28.375,14.432,10.7,58.3,µg-m3,4
FR02021,Sausset les Pins,SO2,2.963,2.888,1.259,0.233,6.2,µg-m3,1
FR02021,Sausset les Pins,O3,47.905,46.287,10.344,32.75,72.175,µg-m3,2
FR02022,Arles,NO,3.699,3.4,2.837,0.2,9.2,µg-m3,1
FR02022,Arles,NO2,20.121,20.812,6.598,9.55,33.0,µg-m3,1
FR02022,Arles,O3,30.163,29.775,5.945,20.55,39.375,µg-m3,1
FR02022,Arles,NOX as NO2,25.784,29.2,9.527,10.033,40.975,µg-m3,2
FR02022,Arles,PM10,29.142,31.337,5.883,19.45,35.75,µg-m3,2
FR02022,Arles,PM2.5,24.809,24.525,4.34,18.125,31.65,µg-m3,3
FR02028,Martigues Lavera,SO2,2.17,1.95,0.945,0.95,5.175,µg-m3,1
FR02028,Martigues Lavera,C6H6,1.641,0.844,1.494,0.31,4.6,µg-m3,0
FR02029,Chateauneuf La Mede,PM10,44.023,42.037,12.224,26.825,63.525,µg-m3,3
FR02041,SALON,NO,15.515,4.925,20.432,0.775,57.95,µg-m3,1
FR02041,SALON,NO2,27.07,22.113,13.869,11.725,59.675,µg-m3,2
FR02041,SALON,O3,29.675,30.525,13.314,6.425,54.525,µg-m3,2
FR02041,SALON,NOX as NO2,50.873,30.3,43.695,12.9,139.9,µg-m3,4
FR02041,SALON,PM10,44.522,32.2,26.368,22.875,113.625,µg-m3,3
FR02041,SALON,PM2.5,39.672,28.337,25.676,18.1,107.8,µg-m3,4
FR02043,Marignane,NO,70.705,37.9,61.087,8.525,204.4,µg-m3,3
FR02043,Marignane,NO2,56.043,54.112,16.233,34.1,84.95,µg-m3,2
FR02043,Marignane,NOX as NO2,164.458,115.887,106.154,58.9,385.55,µg-m3,6
FR02043,Marignane,PM10,64.806,62.038,25.02,35.475,122.75,µg-m3,4
FR02043,Marignane,PM2.5,49.812,41.75,21.715,26.975,100.225,µg-m3,4
FR03006,MARSEILLE RABATAU,NO,68.215,50.412,60.666,4.825,252.2,µg-m3,3
FR03006,MARSEILLE RABATAU,NO2,66.758,66.25,23.556,23.025,112.325,µg-m3,3
FR03006,MARSEILLE RABATAU,NOX as NO2,170.397,146.837,113.812,29.475,489.85,µg-m3,6
FR03014,MARSEILLE ST LOUIS,NO,43.853,18.075,49.248,1.65,154.8,µg-m3,1
FR03014,MARSEILLE ST LOUIS,NO2,60.688,59.413,23.732,22.2,89.35,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NOX as NO2,127.938,97.425,95.391,25.075,326.7,µg-m3,5
FR03014,MARSEILLE ST LOUIS,PM10,43.045,38.062,22.695,14.525,102.1,µg-m3,3
FR03014,MARSEILLE ST LOUIS,PM2.5,19.784,19.538,8.632,6.925,35.6,µg-m3,2
FR03021,AIX ROY RENE,NO,23.322,18.887,20.639,1.55,90.7,µg-m3,1
FR03021,AIX ROY RENE,NO2,45.446,45.087,21.517,15.2,108.725,µg-m3,3
FR03021,AIX ROY RENE,NOX as NO2,81.214,73.963,51.77,17.625,247.8,µg-m3,5
FR03021,AIX ROY RENE,PM10,21.519,16.95,12.602,5.475,45.6,µg-m3,2
FR03027,PLAN AUPS/STE  BAUME,O3,63.224,64.6,11.785,46.225,84.575,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NO,18.601,10.075,24.506,0.525,90.225,µg-m3,1
FR03029,AIX CENTRE ECOLE ART,NO2,40.156,39.388,23.347,6.675,84.45,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NOX as NO2,68.688,53.625,57.901,7.45,213.75,µg-m3,4
FR03029,AIX CENTRE ECOLE ART,PM10,25.545,20.7,16.492,4.425,60.475,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,PM2.5,16.415,11.4,12.316,3.525,45.3,µg-m3,2
FR03030,GARDANNE,PM10,58.902,60.125,20.898,27.175,98.275,µg-m3,4
FR03030,GARDANNE,PM2.5,38.612,37.525,17.994,9.125,66.25,µg-m3,4
FR03032,AUBAGNE LES PASSONS,NO,10.956,6.8,10.061,1.5,31.05,µg-m3,1
FR03032,AUBAGNE LES PASSONS,NO2,37.402,40.138,22.037,8.025,82.2,µg-m3,2
FR03032,AUBAGNE LES PASSONS,O3,32.769,33.462,20.969,4.525,73.15,µg-m3,2
FR03032,AUBAGNE LES PASSONS,NOX as NO2,49.877,45.237,35.397,7.7,122.975,µg-m3,4
FR03037,VALLEE HUVEAUNE,O3,17.303,8.817,22.093,0.2,69.175,µg-m3,2
FR03037,VALLEE HUVEAUNE,C6H6,3.357,2.647,1.963,1.15,7.282,µg-m3,0
FR03043,MARSEILLE 5 AVENUES,SO2,1.505,1.488,0.741,0.125,2.6,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO,20.926,15.387,19.702,0.067,76.125,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO2,51.565,49.538,23.211,16.8,102.7,µg-m3,3
FR03043,MARSEILLE 5 AVENUES,O3,26.064,22.562,22.58,1.925,68.975,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,NOX as NO2,80.956,76.7,46.178,16.833,165.625,µg-m3,4
FR03043,MARSEILLE 5 AVENUES,PM10,23.992,18.863,13.545,10.15,48.15,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,PM2.5,17.15,11.425,12.532,5.7,41.675,µg-m3,2
FR03048,AIX PLATANES,O3,30.623,30.15,22.055,3.25,73.9,µg-m3,2
FR03060,LA SEYNE GENOUD,NO,41.875,19.388,46.412,5.5,170.725,µg-m3,1
FR03060,LA SEYNE GENOUD,NO2,44.281,40.925,19.387,13.625,88.2,µg-m3,2
FR03060,LA SEYNE GENOUD,NOX as NO2,108.515,70.7,88.124,22.275,349.975,µg-m3,6
FR03067,BRIGNOLES,O3,32.665,35.675,14.325,4.825,55.725,µg-m3,2
FR03067,BRIGNOLES,PM10,33.69,33.2,11.905,13.475,54.85,µg-m3,2
FR03068,TOULON FOCH,NO,87.077,68.7,78.883,4.9,266.575,µg-m3,3
FR03068,TOULON FOCH,NO2,67.716,67.138,21.053,35.7,103.95,µg-m3,3
FR03068,TOULON FOCH,NOX as NO2,201.225,176.162,139.737,43.175,512.7,µg-m3,6
FR03068,TOULON FOCH,PM10,48.58,48.288,21.029,17.975,79.225,µg-m3,3
FR03069,HYERES,O3,47.733,47.312,19.489,17.425,80.425,µg-m3,2
FR03069,HYERES,PM10,15.734,13.238,7.834,5.225,30.775,µg-m3,1
FR03070,ESTEREL,NO,3.247,2.862,3.06,0.2,13.175,µg-m3,1
FR03070,ESTEREL,NO2,19.593,15.925,13.594,4.2,47.9,µg-m3,2
FR03070,ESTEREL,O3,38.121,41.45,20.237,7.075,74.75,µg-m3,2
FR03070,ESTEREL,NOX as NO2,24.578,21.762,17.702,4.525,68.1,µg-m3,2
FR03070,ESTEREL,PM10,26.541,22.45,14.615,9.05,59.5,µg-m3,2
FR03070,ESTEREL,PM2.5,21.904,15.288,15.55,4.925,53.825,µg-m3,3
FR03071,TOULON CLARET,NO,56.033,35.7,59.149,4.225,192.375,µg-m3,1
FR03071,TOULON CLARET,NO2,56.064,58.188,20.148,21.275,90.55,µg-m3,3
FR03071,TOULON CLARET,O3,15.44,3.55,24.238,0.475,74.675,µg-m3,2
FR03071,TOULON CLARET,NOX as NO2,141.917,114.787,107.501,30.175,374.8,µg-m3,6
FR03071,TOULON CLARET,PM10,45.592,37.0,23.447,18.775,94.15,µg-m3,3
FR03071,TOULON CLARET,PM2.5,26.489,19.0,20.005,4.625,62.125,µg-m3,4
FR03080,AVIGNON   MAIRIE,NO,3.16,2.987,1.598,0.875,5.975,µg-m3,1
FR03080,AVIGNON   MAIRIE,NO2,16.292,16.137,5.02,9.0,24.575,µg-m3,1
FR03080,AVIGNON   MAIRIE,O3,33.38,33.55,5.466,21.9,41.825,µg-m3,1
FR03080,AVIGNON   MAIRIE,NOX as NO2,21.158,22.608,5.933,10.375,29.2,µg-m3,1
FR03080,AVIGNON   MAIRIE,PM10,32.043,32.112,7.795,20.25,45.625,µg-m3,2
FR03080,AVIGNON   MAIRIE,PM2.5,28.948,27.163,7.094,18.925,41.275,µg-m3,4
FR03084,LE PONTET,NO,17.14,8.462,24.475,3.775,107.95,µg-m3,1
