id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,3.992,3.3,2.801,0.625,9.3,µg-m3,1
FR01011,Metz-Centre,NO2,23.301,21.113,7.604,12.75,39.15,µg-m3,1
FR01011,Metz-Centre,O3,17.311,19.85,7.796,5.7,31.8,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,29.34,26.675,11.192,13.625,51.725,µg-m3,2
FR01011,Metz-Centre,PM2.5,13.368,13.062,3.041,9.15,18.975,µg-m3,2
FR01012,Metz-Borny,NO,5.01,4.575,3.403,0.275,12.45,µg-m3,1
FR01012,Metz-Borny,NO2,21.304,19.925,4.747,14.7,32.575,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,27.932,27.55,9.543,14.275,49.825,µg-m3,2
FR01012,Metz-Borny,PM10,12.965,12.25,3.479,7.625,21.55,µg-m3,1
FR01014,Pont-à-Mousson,PM10,19.647,17.288,8.204,11.425,44.925,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,30.432,30.337,7.349,14.9,42.4,µg-m3,2
FR01016,Atton,NO,4.36,3.812,2.651,1.55,11.075,µg-m3,1
FR01016,Atton,NO2,23.215,20.175,8.855,11.85,43.45,µg-m3,2
FR01016,Atton,NOX as NO2,29.918,26.812,12.266,14.775,60.425,µg-m3,2
FR01018,Scy-Chazelles,NO,3.233,2.5,2.566,0.6,8.725,µg-m3,1
FR01018,Scy-Chazelles,NO2,21.978,19.438,8.476,9.35,39.075,µg-m3,1
FR01018,Scy-Chazelles,O3,21.323,24.413,11.401,3.625,39.55,µg-m3,1
FR01018,Scy-Chazelles,NOX as NO2,26.948,25.825,11.164,10.3,52.45,µg-m3,2
FR01019,Thionville-Piscine,NO,2.248,1.625,1.704,0.3,7.6,µg-m3,1
FR01019,Thionville-Piscine,NO2,11.856,10.887,6.479,3.65,28.025,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,15.295,14.85,8.664,4.575,39.675,µg-m3,1
FR01019,Thionville-Piscine,PM10,11.958,11.95,1.901,8.8,15.8,µg-m3,1
FR01020,Thionville-Centre,NO,7.604,7.625,3.243,3.35,15.2,µg-m3,1
FR01020,Thionville-Centre,NO2,16.669,16.65,6.253,7.1,31.6,µg-m3,1
FR01020,Thionville-Centre,O3,25.95,28.325,10.182,7.15,42.275,µg-m3,1
FR01020,Thionville-Centre,NOX as NO2,28.326,27.387,10.76,12.475,54.85,µg-m3,2
FR01020,Thionville-Centre,PM10,11.21,10.788,1.828,8.35,15.05,µg-m3,1
FR01020,Thionville-Centre,PM2.5,7.447,7.312,1.013,5.7,9.375,µg-m3,1
FR01021,Thionville-Garche,O3,31.289,33.175,9.478,19.05,44.875,µg-m3,1
FR01059,HAYANGE-MARSPICH,PM10,21.646,21.562,9.495,6.4,38.1,µg-m3,2
FR01064,Metz- Pont Grilles,NO,8.519,6.675,8.361,0.425,33.175,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,22.824,21.65,7.903,9.95,39.875,µg-m3,1
FR01064,Metz- Pont Grilles,NOX as NO2,35.767,29.65,19.912,10.4,90.65,µg-m3,3
FR01064,Metz- Pont Grilles,PM10,15.801,15.775,4.51,8.525,25.375,µg-m3,1
FR01065,Belleville sur Meuse,NO,17.349,13.25,14.149,2.675,45.65,µg-m3,1
FR01065,Belleville sur Meuse,NO2,22.348,24.375,7.977,7.475,37.075,µg-m3,1
FR01065,Belleville sur Meuse,NOX as NO2,48.899,44.775,27.304,11.525,104.975,µg-m3,3
FR01065,Belleville sur Meuse,PM2.5,15.642,14.863,4.223,8.025,25.95,µg-m3,2
FR02001,Berre l'Etang,O3,37.815,40.938,11.545,12.9,52.8,µg-m3,2
FR02001,Berre l'Etang,C6H6,1.353,1.126,0.744,0.608,2.895,µg-m3,0
FR02004,Martigues P. Central,SO2,0.984,1.079,0.504,0.2,1.925,µg-m3,1
FR02004,Martigues P. Central,O3,41.106,43.763,8.625,23.275,53.025,µg-m3,2
FR02006,Martigues Laurons,SO2,0.512,0.483,0.179,0.225,0.95,µg-m3,1
FR02007,Martigues La Gatasse,SO2,1.167,1.175,0.566,0.067,1.9,µg-m3,1
FR02008,Port de Bouc Leque,SO2,2.796,2.862,0.411,1.925,3.45,µg-m3,1
FR02008,Port de Bouc Leque,PM10,17.257,17.962,3.668,11.225,24.8,µg-m3,1
FR02008,Port de Bouc Leque,PM2.5,13.92,14.838,4.155,5.125,19.85,µg-m3,2
FR02009,Port Saint Louis,PM10,13.624,11.95,4.634,6.35,24.475,µg-m3,1
FR02011,Fos sur Mer,SO2,1.349,1.325,0.51,0.475,2.075,µg-m3,1
FR02012,Istres,O3,32.289,32.25,11.002,12.425,46.275,µg-m3,1
FR02013,Fos Les Carabins,SO2,0.31,0.275,0.235,0.05,0.825,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,11.943,11.325,3.04,6.525,18.075,µg-m3,2
FR02020,Rognac les Brets,PM2.5,9.546,6.8,7.706,3.325,34.55,µg-m3,1
FR02021,Sausset les Pins,SO2,1.114,1.267,0.707,0.0,2.125,µg-m3,1
FR02021,Sausset les Pins,O3,44.774,45.65,3.49,38.75,47.9,µg-m3,1
FR02022,Arles,NO,1.556,1.35,1.267,0.05,3.55,µg-m3,1
FR02022,Arles,NO2,10.57,10.163,2.522,6.425,17.55,µg-m3,1
FR02022,Arles,O3,47.425,46.475,3.739,40.675,52.875,µg-m3,2
FR02022,Arles,NOX as NO2,12.939,12.938,3.629,6.775,21.05,µg-m3,1
FR02022,Arles,PM10,13.925,14.075,3.518,8.1,22.075,µg-m3,1
FR02022,Arles,PM2.5,9.854,10.25,1.482,6.75,12.425,µg-m3,1
FR02028,Martigues Lavera,SO2,1.533,1.5,0.747,0.3,2.8,µg-m3,1
FR02028,Martigues Lavera,C6H6,0.394,0.281,0.254,0.18,1.105,µg-m3,0
FR02029,Chateauneuf La Mede,PM10,15.743,15.775,4.067,9.1,25.55,µg-m3,1
FR02041,SALON,NO,1.57,1.075,1.26,0.35,4.725,µg-m3,1
FR02041,SALON,NO2,9.47,8.75,3.395,4.975,17.625,µg-m3,1
FR02041,SALON,O3,44.915,43.95,4.576,38.05,52.425,µg-m3,2
FR02041,SALON,NOX as NO2,11.903,11.15,4.68,5.55,20.85,µg-m3,1
FR02041,SALON,PM10,14.832,15.35,2.757,9.15,18.275,µg-m3,1
FR02041,SALON,PM2.5,12.012,12.65,2.072,8.2,14.45,µg-m3,2
FR02043,Marignane,NO,34.001,13.475,42.313,0.85,131.85,µg-m3,1
FR02043,Marignane,NO2,33.678,31.913,16.611,12.7,62.375,µg-m3,2
FR02043,Marignane,NOX as NO2,85.818,51.0,79.461,14.0,262.425,µg-m3,5
FR02043,Marignane,PM10,30.811,18.875,22.583,14.475,97.45,µg-m3,2
FR02043,Marignane,PM2.5,25.312,14.938,20.243,10.625,84.975,µg-m3,4
FR03006,MARSEILLE RABATAU,NO,96.692,60.037,78.923,17.225,276.925,µg-m3,3
FR03006,MARSEILLE RABATAU,NO2,65.103,61.787,18.152,39.5,108.35,µg-m3,3
FR03006,MARSEILLE RABATAU,NOX as NO2,212.405,154.05,138.194,75.225,532.025,µg-m3,6
FR03006,MARSEILLE RABATAU,PM10,48.147,44.975,18.552,22.125,82.05,µg-m3,3
FR03006,MARSEILLE RABATAU,PM2.5,23.135,19.288,12.339,9.025,50.025,µg-m3,3
FR03014,MARSEILLE ST LOUIS,NO,9.301,7.175,8.172,0.925,31.75,µg-m3,1
FR03014,MARSEILLE ST LOUIS,NO2,31.13,30.438,12.456,14.3,58.725,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NOX as NO2,45.396,39.45,24.06,15.725,107.4,µg-m3,3
FR03014,MARSEILLE ST LOUIS,PM10,20.91,18.8,7.643,11.725,37.775,µg-m3,2
FR03014,MARSEILLE ST LOUIS,PM2.5,14.421,12.425,6.748,8.05,32.925,µg-m3,2
