id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,13.661,12.438,10.806,1.325,45.375,µg-m3,1
FR01011,Metz-Centre,NO2,32.151,29.675,11.19,18.3,56.1,µg-m3,2
FR01011,Metz-Centre,O3,8.896,10.9,5.424,1.067,17.25,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,52.979,50.263,25.675,20.9,125.475,µg-m3,4
FR01011,Metz-Centre,PM2.5,16.974,16.538,5.016,8.525,24.6,µg-m3,2
FR01012,Metz-Borny,NO,11.238,8.925,10.43,1.5,43.975,µg-m3,1
FR01012,Metz-Borny,NO2,25.204,22.55,9.827,14.55,47.575,µg-m3,2
FR01012,Metz-Borny,NOX as NO2,42.421,36.475,24.193,16.875,108.15,µg-m3,3
FR01012,Metz-Borny,PM10,13.223,10.387,5.468,7.05,22.9,µg-m3,1
FR01014,Pont-à-Mousson,PM10,22.004,17.163,10.727,9.475,54.45,µg-m3,2
FR01015,Blénod-lès-PAM,PM10,28.525,28.1,8.833,15.9,40.4,µg-m3,2
FR01016,Atton,NO,13.384,11.425,10.301,1.3,34.05,µg-m3,1
FR01016,Atton,NO2,27.828,24.25,9.225,17.425,43.625,µg-m3,2
FR01016,Atton,NOX as NO2,48.353,39.337,24.192,20.25,95.875,µg-m3,3
FR01018,Scy-Chazelles,NO,8.303,5.463,6.854,0.775,21.775,µg-m3,1
FR01018,Scy-Chazelles,NO2,26.955,25.087,6.611,19.375,43.25,µg-m3,2
FR01018,Scy-Chazelles,O3,12.34,9.35,8.186,2.325,30.55,µg-m3,1
FR01018,Scy-Chazelles,NOX as NO2,39.701,39.1,13.1,20.625,64.6,µg-m3,2
FR01019,Thionville-Piscine,NO,9.387,5.975,9.107,1.0,31.0,µg-m3,1
FR01019,Thionville-Piscine,NO2,20.825,20.05,7.164,10.55,35.1,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,35.214,29.962,19.372,12.075,82.65,µg-m3,2
FR01019,Thionville-Piscine,PM10,15.758,15.537,6.13,7.2,31.4,µg-m3,1
