id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,0.834,0.675,0.587,0.0,2.3,µg-m3,1
FR01011,Metz-Centre,NO2,13.801,13.012,3.115,9.425,20.325,µg-m3,1
FR01011,Metz-Centre,O3,35.336,35.875,8.785,16.85,49.575,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,14.982,13.925,3.58,10.225,23.25,µg-m3,1
FR01011,Metz-Centre,PM10,19.84,19.825,4.82,9.925,27.9,µg-m3,1
FR01011,Metz-Centre,PM2.5,19.564,20.225,4.619,12.95,25.725,µg-m3,2
FR01012,Metz-Borny,NO,2.232,2.162,0.628,1.3,3.275,µg-m3,1
FR01012,Metz-Borny,NO2,17.278,16.275,5.303,11.175,30.2,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,20.696,19.388,5.88,13.125,34.85,µg-m3,1
FR01012,Metz-Borny,PM10,16.408,17.025,3.789,10.0,23.125,µg-m3,1
FR01014,Pont-à-Mousson,PM10,16.826,15.95,6.039,7.25,27.4,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,17.817,16.275,7.204,7.0,29.5,µg-m3,1
FR01016,Atton,NO,2.557,2.4,1.854,0.4,8.1,µg-m3,1
FR01016,Atton,NO2,12.542,11.088,4.367,7.85,23.575,µg-m3,1
FR01016,Atton,NOX as NO2,16.493,13.613,6.521,9.2,29.5,µg-m3,1
FR01018,Scy-Chazelles,NO,0.885,0.762,0.425,0.475,2.15,µg-m3,1
FR01018,Scy-Chazelles,NO2,12.797,12.275,3.244,8.025,24.725,µg-m3,1
FR01018,Scy-Chazelles,O3,42.283,40.188,7.907,29.8,55.9,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,14.173,13.75,3.441,8.825,26.3,µg-m3,1
FR01019,Thionville-Piscine,NO,1.531,1.525,0.299,1.05,1.925,µg-m3,1
FR01019,Thionville-Piscine,NO2,8.185,8.175,1.612,5.65,11.975,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,10.536,10.488,1.623,8.45,14.8,µg-m3,1
FR01019,Thionville-Piscine,PM10,27.077,22.05,18.339,11.6,99.4,µg-m3,2
FR01020,Thionville-Centre,NO,4.299,4.1,0.723,3.4,6.85,µg-m3,1
FR01020,Thionville-Centre,NO2,13.098,12.9,2.368,9.3,20.025,µg-m3,1
FR01020,Thionville-Centre,O3,42.36,42.025,7.13,31.1,54.575,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,19.693,18.975,3.146,15.475,30.525,µg-m3,1
FR01020,Thionville-Centre,PM10,20.119,20.013,4.353,12.65,33.425,µg-m3,2
FR01020,Thionville-Centre,PM2.5,9.136,8.525,2.115,6.675,15.7,µg-m3,1
FR01021,Thionville-Garche,O3,50.664,50.288,6.662,40.075,61.95,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,15.304,15.2,3.745,8.55,21.625,µg-m3,1
FR01064,Metz- Pont Grilles,NO,2.927,2.375,2.635,0.275,10.675,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,18.74,16.125,7.476,10.95,41.7,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,23.144,18.312,11.131,12.35,57.875,µg-m3,2
FR01064,Metz- Pont Grilles,PM10,17.968,18.525,4.905,8.525,27.175,µg-m3,1
FR01065,Belleville sur Meuse,NO,8.796,7.475,6.287,1.85,24.05,µg-m3,1
FR01065,Belleville sur Meuse,NO2,15.457,15.125,6.211,7.425,30.075,µg-m3,1
