id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,2.11,2.35,1.004,0.475,3.775,µg-m3,1
FR01011,Metz-Centre,NO2,17.478,18.5,6.382,6.3,29.575,µg-m3,1
FR01011,Metz-Centre,O3,36.222,35.562,6.993,23.025,50.3,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,20.614,21.288,7.804,6.975,34.575,µg-m3,1
FR01011,Metz-Centre,PM2.5,6.224,5.55,3.039,1.725,12.925,µg-m3,1
FR01012,Metz-Borny,NO,1.008,0.75,0.723,0.45,1.825,µg-m3,1
FR01012,Metz-Borny,NO2,9.654,9.15,2.378,6.45,16.25,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,9.157,8.6,3.199,5.325,19.05,µg-m3,1
FR01012,Metz-Borny,PM10,6.266,6.112,2.07,2.825,10.575,µg-m3,1
FR01014,Pont-à-Mousson,PM10,10.758,11.3,4.693,3.5,20.375,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,10.206,9.812,4.887,3.5,22.4,µg-m3,1
FR01016,Atton,NO,0.596,0.6,0.406,0.025,1.4,µg-m3,1
FR01016,Atton,NO2,5.697,5.588,1.621,2.875,9.575,µg-m3,1
FR01016,Atton,NOX as NO2,6.388,6.65,1.948,2.5,10.675,µg-m3,1
FR01018,Scy-Chazelles,NO,0.601,0.5,0.353,0.2,1.625,µg-m3,1
FR01018,Scy-Chazelles,NO2,8.224,6.125,4.663,4.275,21.025,µg-m3,1
FR01018,Scy-Chazelles,O3,49.456,54.112,12.985,13.225,65.25,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,9.162,6.725,5.129,4.675,23.35,µg-m3,1
FR01019,Thionville-Piscine,NO,1.757,1.562,1.126,0.7,6.375,µg-m3,1
FR01019,Thionville-Piscine,NO2,14.185,13.588,4.956,5.65,23.925,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,16.89,16.325,5.705,6.7,26.65,µg-m3,1
FR01019,Thionville-Piscine,PM10,7.167,6.35,4.553,1.3,18.2,µg-m3,1
FR01020,Thionville-Centre,NO,5.63,5.888,1.647,3.45,8.6,µg-m3,1
FR01020,Thionville-Centre,NO2,17.404,17.812,4.639,9.05,25.2,µg-m3,1
FR01020,Thionville-Centre,O3,41.15,41.862,9.05,22.6,59.875,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,26.042,27.8,6.488,14.3,37.85,µg-m3,1
FR01020,Thionville-Centre,PM10,6.755,5.762,4.547,0.35,17.1,µg-m3,1
FR01020,Thionville-Centre,PM2.5,4.639,3.987,1.77,2.7,9.325,µg-m3,1
FR01021,Thionville-Garche,O3,47.95,49.713,9.499,28.9,66.025,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,8.992,8.925,2.297,6.7,13.0,µg-m3,1
FR01064,Metz- Pont Grilles,NO,19.072,21.2,13.788,0.6,45.075,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,24.573,26.275,10.749,6.7,43.9,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,53.725,56.075,31.068,10.4,112.95,µg-m3,3
FR01064,Metz- Pont Grilles,PM10,8.734,8.863,3.18,3.075,14.85,µg-m3,1
FR01065,Belleville sur Meuse,NO,21.215,18.875,19.838,2.55,73.55,µg-m3,1
FR01065,Belleville sur Meuse,NO2,18.909,20.45,11.348,3.05,36.825,µg-m3,1
FR01065,Belleville sur Meuse,NOX as NO2,51.295,51.65,40.246,7.0,139.825,µg-m3,4
FR01065,Belleville sur Meuse,PM2.5,5.837,4.95,4.939,0.15,24.8,µg-m3,1
FR02001,Berre l'Etang,O3,43.341,48.625,20.221,5.375,68.05,µg-m3,2
FR02001,Berre l'Etang,C6H6,1.183,0.812,1.007,0.325,3.857,µg-m3,0
FR02004,Martigues P. Central,SO2,1.335,1.425,0.562,0.15,2.1,µg-m3,1
FR02004,Martigues P. Central,O3,45.212,47.812,11.672,19.025,63.775,µg-m3,2
FR02006,Martigues Laurons,SO2,9.136,6.575,9.14,0.325,28.325,µg-m3,1
FR02007,Martigues La Gatasse,SO2,2.186,1.775,1.304,0.675,6.1,µg-m3,1
FR02008,Port de Bouc Leque,SO2,2.053,2.025,1.008,0.45,4.775,µg-m3,1
FR02008,Port de Bouc Leque,PM10,17.95,17.062,4.772,10.45,31.5,µg-m3,1
FR02008,Port de Bouc Leque,PM2.5,11.685,10.963,2.595,8.025,19.5,µg-m3,2
FR02009,Port Saint Louis,SO2,1.68,1.712,0.373,0.875,2.075,µg-m3,1
FR02009,Port Saint Louis,PM10,12.079,10.738,5.216,7.025,27.825,µg-m3,1
FR02011,Fos sur Mer,SO2,2.605,2.013,2.317,0.425,10.025,µg-m3,1
FR02012,Istres,O3,34.404,38.312,15.616,2.15,60.125,µg-m3,2
FR02013,Fos Les Carabins,SO2,1.371,1.175,0.68,0.167,2.875,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,10.733,9.512,3.192,5.825,17.625,µg-m3,2
FR02020,Rognac les Brets,PM2.5,7.285,7.062,4.305,1.175,20.75,µg-m3,1
FR02021,Sausset les Pins,SO2,0.858,0.796,0.613,0.075,2.433,µg-m3,1
FR02021,Sausset les Pins,O3,45.642,43.629,9.61,27.8,60.175,µg-m3,2
FR02022,Arles,NO,4.45,4.025,3.754,0.075,11.25,µg-m3,1
FR02022,Arles,NO2,16.765,15.2,9.17,5.225,39.0,µg-m3,1
FR02022,Arles,O3,39.863,41.325,8.956,21.525,52.3,µg-m3,2
FR02022,Arles,NOX as NO2,23.592,19.425,14.358,5.6,56.225,µg-m3,2
FR02022,Arles,PM10,11.879,11.312,6.05,4.4,26.875,µg-m3,1
FR02022,Arles,PM2.5,8.233,6.525,4.855,3.575,22.5,µg-m3,1
FR02028,Martigues Lavera,SO2,2.186,2.079,1.045,1.1,5.375,µg-m3,1
