id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,11.043,4.35,19.623,0.45,84.225,µg-m3,1
FR01011,Metz-Centre,NO2,32.05,32.45,15.292,13.6,66.35,µg-m3,2
FR01011,Metz-Centre,O3,22.021,25.712,13.763,1.775,38.05,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,48.872,39.05,42.337,14.2,195.4,µg-m3,4
FR01011,Metz-Centre,PM10,20.845,17.987,9.007,11.2,47.8,µg-m3,2
FR01011,Metz-Centre,PM2.5,16.014,15.162,3.704,9.8,25.95,µg-m3,2
FR01012,Metz-Borny,NO,16.286,7.713,32.619,1.3,161.525,µg-m3,1
FR01012,Metz-Borny,NO2,31.826,28.987,14.145,13.1,73.6,µg-m3,2
FR01012,Metz-Borny,NOX as NO2,56.772,40.288,61.38,15.125,320.375,µg-m3,5
FR01012,Metz-Borny,PM10,17.246,16.275,5.871,9.4,28.25,µg-m3,1
FR01014,Pont-à-Mousson,PM10,20.886,15.1,11.021,9.225,48.5,µg-m3,2
FR01015,Blénod-lès-PAM,PM10,23.965,22.15,9.641,10.8,42.7,µg-m3,2
FR01016,Atton,NO,10.17,6.438,14.599,0.4,72.725,µg-m3,1
FR01016,Atton,NO2,24.848,24.387,13.266,7.6,53.925,µg-m3,2
FR01016,Atton,NOX as NO2,40.453,33.575,32.978,8.65,165.475,µg-m3,4
FR01018,Scy-Chazelles,NO,4.292,1.525,9.024,0.375,45.05,µg-m3,1
FR01018,Scy-Chazelles,NO2,20.386,18.962,8.527,7.35,44.15,µg-m3,2
FR01018,Scy-Chazelles,O3,35.19,35.712,11.989,6.175,53.125,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,26.98,24.15,20.369,8.025,113.2,µg-m3,3
FR01019,Thionville-Piscine,NO,3.651,3.175,2.301,1.05,9.55,µg-m3,1
FR01019,Thionville-Piscine,NO2,16.057,14.4,9.174,5.6,34.275,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,21.639,18.413,12.219,7.4,45.35,µg-m3,2
FR01019,Thionville-Piscine,PM10,18.518,16.25,8.074,8.1,37.85,µg-m3,1
FR01020,Thionville-Centre,NO,9.486,7.4,6.419,3.5,33.5,µg-m3,1
FR01020,Thionville-Centre,NO2,24.261,21.875,12.148,10.325,52.075,µg-m3,2
FR01020,Thionville-Centre,O3,30.24,32.462,15.507,4.625,50.725,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,38.806,31.0,21.201,15.75,103.475,µg-m3,3
FR01020,Thionville-Centre,PM10,19.785,18.025,5.66,13.525,33.375,µg-m3,1
FR01020,Thionville-Centre,PM2.5,9.13,8.188,2.918,5.775,15.55,µg-m3,1
FR01021,Thionville-Garche,O3,40.643,50.7,19.144,4.275,58.325,µg-m3,2
FR01059,HAYANGE-MARSPICH,PM10,13.921,14.262,5.766,4.4,26.1,µg-m3,1
