id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,3.474,2.987,2.58,0.275,9.05,µg-m3,1
FR01011,Metz-Centre,NO2,18.927,19.175,6.027,9.225,28.425,µg-m3,1
FR01011,Metz-Centre,O3,22.278,21.375,6.949,12.275,36.3,µg-m3,1
FR01011,Metz-Centre,NOX as NO2,24.163,23.375,9.551,9.825,39.775,µg-m3,1
FR01011,Metz-Centre,PM10,13.492,12.363,5.388,5.25,26.225,µg-m3,1
FR01011,Metz-Centre,PM2.5,15.381,14.912,3.909,9.625,22.6,µg-m3,2
FR01012,Metz-Borny,NO,2.126,1.837,1.233,0.8,5.475,µg-m3,1
FR01012,Metz-Borny,NO2,15.44,16.288,3.466,9.65,21.35,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,18.705,18.863,4.812,10.85,28.75,µg-m3,1
FR01012,Metz-Borny,PM10,9.258,8.963,4.796,2.925,19.425,µg-m3,1
FR01014,Pont-à-Mousson,PM10,14.474,14.85,6.533,1.425,25.7,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,16.073,14.637,6.781,7.1,33.4,µg-m3,1
FR01016,Atton,NO,1.823,1.775,1.397,0.125,4.075,µg-m3,1
FR01016,Atton,NO2,12.111,11.975,2.575,8.15,18.65,µg-m3,1
FR01016,Atton,NOX as NO2,14.792,14.125,4.346,9.025,24.9,µg-m3,1
FR01018,Scy-Chazelles,NO,1.184,0.95,0.787,0.35,3.0,µg-m3,1
FR01018,Scy-Chazelles,NO2,12.371,11.775,3.484,7.3,19.025,µg-m3,1
FR01018,Scy-Chazelles,O3,31.976,32.8,6.515,21.75,42.85,µg-m3,1
FR01018,Scy-Chazelles,NOX as NO2,14.206,13.675,4.461,7.925,23.65,µg-m3,1
FR01019,Thionville-Piscine,NO,4.513,4.025,1.663,2.375,7.725,µg-m3,1
FR01019,Thionville-Piscine,NO2,14.517,14.35,4.409,6.65,23.075,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,21.433,21.825,6.582,10.325,34.3,µg-m3,1
FR01019,Thionville-Piscine,PM10,15.213,14.05,6.506,5.2,27.4,µg-m3,1
FR01020,Thionville-Centre,NO,7.848,8.85,2.92,3.6,12.35,µg-m3,1
FR01020,Thionville-Centre,NO2,16.732,17.225,4.203,8.675,23.275,µg-m3,1
FR01020,Thionville-Centre,O3,23.423,23.062,6.999,11.4,36.925,µg-m3,1
FR01020,Thionville-Centre,NOX as NO2,28.766,30.175,8.427,14.625,41.65,µg-m3,2
FR01020,Thionville-Centre,PM10,14.569,13.438,6.339,6.325,25.275,µg-m3,1
FR01020,Thionville-Centre,PM2.5,6.684,6.75,1.835,3.5,11.65,µg-m3,1
FR01021,Thionville-Garche,O3,28.563,29.725,7.503,13.85,40.95,µg-m3,1
FR01064,Metz- Pont Grilles,NO,18.801,18.762,15.465,0.35,48.375,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,23.843,24.462,9.5,8.875,40.825,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,52.606,54.812,32.928,9.425,114.825,µg-m3,3
FR01064,Metz- Pont Grilles,PM10,13.619,12.05,5.102,6.9,22.1,µg-m3,1
FR01065,Belleville sur Meuse,NO,28.301,22.475,24.317,2.0,86.225,µg-m3,1
FR01065,Belleville sur Meuse,NO2,28.675,27.038,10.472,12.55,46.4,µg-m3,2
FR01065,Belleville sur Meuse,PM2.5,15.204,15.812,4.993,6.725,25.975,µg-m3,2
FR02001,Berre l'Etang,O3,23.758,27.725,19.456,2.467,61.65,µg-m3,2
FR02001,Berre l'Etang,C6H6,5.786,3.703,4.404,1.012,15.512,µg-m3,0
FR02004,Martigues P. Central,SO2,0.956,0.9,0.641,0.0,2.15,µg-m3,1
FR02004,Martigues P. Central,O3,45.067,44.45,12.227,25.075,66.2,µg-m3,2
FR02006,Martigues Laurons,SO2,2.68,2.15,2.199,0.1,7.4,µg-m3,1
FR02007,Martigues La Gatasse,SO2,1.486,1.337,0.931,0.025,3.225,µg-m3,1
FR02008,Port de Bouc Leque,SO2,2.83,2.463,1.297,1.55,6.025,µg-m3,1
FR02008,Port de Bouc Leque,PM10,34.121,32.6,6.382,25.325,53.375,µg-m3,2
FR02008,Port de Bouc Leque,PM2.5,24.569,24.137,3.571,17.9,33.175,µg-m3,3
FR02009,Port Saint Louis,PM10,24.341,25.212,5.824,15.975,34.825,µg-m3,2
FR02011,Fos sur Mer,SO2,1.093,1.325,0.675,0.233,2.275,µg-m3,1
FR02012,Istres,O3,35.292,34.15,12.173,13.175,57.3,µg-m3,2
FR02013,Fos Les Carabins,SO2,0.869,1.0,0.387,0.2,1.35,µg-m3,1
FR02013,Fos Les Carabins,PM2.5,20.886,21.212,2.769,15.6,24.75,µg-m3,3
FR02020,Rognac les Brets,PM2.5,27.827,26.837,9.67,13.55,53.175,µg-m3,4
FR02021,Sausset les Pins,SO2,1.572,1.7,0.839,0.075,2.825,µg-m3,1
FR02021,Sausset les Pins,O3,47.397,43.438,11.271,36.867,81.625,µg-m3,2
FR02022,Arles,NO,3.018,2.587,2.604,0.425,8.6,µg-m3,1
FR02022,Arles,NO2,18.433,17.525,3.415,13.95,25.25,µg-m3,1
FR02022,Arles,O3,41.993,44.737,11.111,20.45,57.6,µg-m3,2
FR02022,Arles,NOX as NO2,23.056,22.475,6.695,14.875,36.6,µg-m3,1
FR02022,Arles,PM10,23.88,23.05,4.583,16.225,32.225,µg-m3,2
FR02022,Arles,PM2.5,18.106,17.938,4.781,10.1,23.9,µg-m3,2
FR02028,Martigues Lavera,SO2,3.131,3.088,0.61,2.033,4.925,µg-m3,1
FR02028,Martigues Lavera,C6H6,1.426,1.167,0.998,0.333,3.745,µg-m3,0
FR02029,Chateauneuf La Mede,PM10,39.359,36.475,10.094,25.1,58.0,µg-m3,2
FR02041,SALON,NO,3.199,2.712,2.28,0.95,9.175,µg-m3,1
FR02041,SALON,NO2,21.148,18.538,8.558,12.8,49.875,µg-m3,2
FR02041,SALON,O3,39.261,40.562,12.315,16.05,62.0,µg-m3,2
FR02041,SALON,NOX as NO2,26.049,23.363,10.076,14.325,56.875,µg-m3,2
FR02041,SALON,PM10,29.332,29.337,4.47,21.9,36.525,µg-m3,2
FR02041,SALON,PM2.5,23.469,23.688,4.013,15.2,31.125,µg-m3,3
FR02043,Marignane,NO,50.316,25.6,48.807,3.525,171.9,µg-m3,1
FR02043,Marignane,NO2,42.92,41.475,15.062,15.25,71.475,µg-m3,2
FR02043,Marignane,NOX as NO2,120.059,79.7,86.485,20.675,333.05,µg-m3,5
FR02043,Marignane,PM10,55.217,49.438,17.443,31.375,92.0,µg-m3,4
FR02043,Marignane,PM2.5,44.568,41.4,14.919,24.625,77.525,µg-m3,4
FR03006,MARSEILLE RABATAU,NO,72.322,56.212,54.213,6.8,185.2,µg-m3,1
FR03006,MARSEILLE RABATAU,NO2,65.899,65.6,20.704,33.775,111.35,µg-m3,3
FR03006,MARSEILLE RABATAU,NOX as NO2,175.836,149.1,101.378,43.25,385.8,µg-m3,6
FR03006,MARSEILLE RABATAU,PM10,63.629,60.888,22.477,36.3,115.425,µg-m3,4
FR03006,MARSEILLE RABATAU,PM2.5,34.487,28.7,14.01,22.7,67.4,µg-m3,4
FR03014,MARSEILLE ST LOUIS,NO,41.515,24.9,46.052,3.4,157.625,µg-m3,1
FR03014,MARSEILLE ST LOUIS,NO2,56.358,55.625,15.873,31.133,77.8,µg-m3,2
FR03014,MARSEILLE ST LOUIS,NOX as NO2,120.012,98.912,82.01,36.333,316.325,µg-m3,5
FR03014,MARSEILLE ST LOUIS,PM10,54.572,48.5,19.9,30.8,102.75,µg-m3,4
FR03014,MARSEILLE ST LOUIS,PM2.5,33.032,33.288,5.596,23.65,44.3,µg-m3,4
FR03021,AIX ROY RENE,NO,27.364,25.1,20.087,2.225,78.1,µg-m3,1
FR03021,AIX ROY RENE,NO2,42.207,42.708,19.029,13.4,88.825,µg-m3,2
FR03021,AIX ROY RENE,NOX as NO2,84.152,86.733,47.799,16.8,208.5,µg-m3,4
FR03021,AIX ROY RENE,PM10,34.327,28.262,16.146,14.175,61.85,µg-m3,2
FR03027,PLAN AUPS/STE  BAUME,O3,55.299,51.692,13.23,34.45,74.775,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NO,24.793,6.85,33.181,0.575,123.55,µg-m3,1
FR03029,AIX CENTRE ECOLE ART,NO2,36.839,30.288,21.959,9.4,74.9,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,NOX as NO2,74.853,39.025,69.885,10.25,259.9,µg-m3,5
FR03029,AIX CENTRE ECOLE ART,PM10,35.828,27.25,20.073,16.25,74.15,µg-m3,2
FR03029,AIX CENTRE ECOLE ART,PM2.5,25.119,19.625,13.867,10.825,54.775,µg-m3,4
FR03030,GARDANNE,PM10,52.555,50.562,18.076,22.875,83.575,µg-m3,4
FR03030,GARDANNE,PM2.5,36.654,34.125,13.911,13.075,61.225,µg-m3,4
FR03032,AUBAGNE LES PASSONS,NO,13.662,7.217,17.124,0.375,76.15,µg-m3,1
FR03032,AUBAGNE LES PASSONS,NO2,40.257,37.496,17.73,17.225,82.125,µg-m3,2
FR03032,AUBAGNE LES PASSONS,O3,22.945,11.062,24.096,2.625,71.675,µg-m3,2
FR03032,AUBAGNE LES PASSONS,NOX as NO2,61.218,47.617,36.275,17.8,166.025,µg-m3,4
FR03037,VALLEE HUVEAUNE,O3,20.456,2.525,27.922,0.05,72.075,µg-m3,2
FR03037,VALLEE HUVEAUNE,C6H6,4.539,3.496,1.999,2.095,8.377,µg-m3,0
FR03043,MARSEILLE 5 AVENUES,SO2,1.216,1.238,0.746,0.075,2.675,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO,19.043,10.012,25.207,0.075,106.575,µg-m3,1
FR03043,MARSEILLE 5 AVENUES,NO2,51.206,45.712,22.181,22.675,99.333,µg-m3,3
FR03043,MARSEILLE 5 AVENUES,O3,24.272,15.438,25.073,1.25,75.25,µg-m3,2
FR03043,MARSEILLE 5 AVENUES,NOX as NO2,80.401,62.162,53.949,25.2,230.525,µg-m3,5
FR03043,MARSEILLE 5 AVENUES,PM10,40.934,35.487,11.215,30.3,71.9,µg-m3,3
FR03043,MARSEILLE 5 AVENUES,PM2.5,32.92,28.975,9.59,24.175,57.475,µg-m3,4
FR03048,AIX PLATANES,O3,24.098,18.562,20.951,2.0,71.3,µg-m3,2
FR03060,LA SEYNE GENOUD,NO,19.706,7.375,27.972,3.175,116.95,µg-m3,1
FR03060,LA SEYNE GENOUD,NO2,32.292,28.925,14.614,13.175,55.725,µg-m3,2
FR03060,LA SEYNE GENOUD,NOX as NO2,62.519,40.787,52.367,18.325,227.075,µg-m3,4
FR03067,BRIGNOLES,O3,28.294,25.075,18.364,1.533,66.3,µg-m3,2
FR03068,TOULON FOCH,NO,64.732,24.25,93.335,5.075,367.675,µg-m3,3
FR03068,TOULON FOCH,NO2,54.398,49.35,23.538,24.45,104.975,µg-m3,3
FR03068,TOULON FOCH,NOX as NO2,153.646,101.213,162.477,36.7,668.725,µg-m3,6
FR03068,TOULON FOCH,PM10,48.183,44.837,17.096,21.025,74.4,µg-m3,3
FR03069,HYERES,O3,49.564,49.962,21.501,8.5,80.2,µg-m3,2
FR03069,HYERES,PM10,29.137,24.113,13.792,14.775,68.175,µg-m3,2
FR03070,ESTEREL,NO,3.697,3.538,2.722,0.425,10.425,µg-m3,1
FR03070,ESTEREL,NO2,17.161,15.363,9.192,5.925,38.075,µg-m3,1
FR03070,ESTEREL,O3,28.889,23.675,22.88,3.9,72.575,µg-m3,2
FR03070,ESTEREL,NOX as NO2,22.829,20.487,11.572,6.6,43.45,µg-m3,2
FR03070,ESTEREL,PM10,35.867,29.475,16.691,15.025,69.15,µg-m3,2
FR03070,ESTEREL,PM2.5,31.901,25.35,18.368,13.125,69.3,µg-m3,4
FR03071,TOULON CLARET,NO,24.752,7.95,36.357,0.9,121.8,µg-m3,1
FR03071,TOULON CLARET,NO2,37.277,37.825,15.894,14.85,65.7,µg-m3,2
FR03071,TOULON CLARET,O3,29.861,6.833,35.132,0.425,86.5,µg-m3,2
FR03071,TOULON CLARET,NOX as NO2,75.202,53.462,68.97,20.625,251.0,µg-m3,5
FR03071,TOULON CLARET,PM10,44.609,38.663,20.918,20.7,81.575,µg-m3,3
FR03071,TOULON CLARET,PM2.5,28.963,23.113,18.889,8.95,75.95,µg-m3,4
FR03080,AVIGNON   MAIRIE,NO,3.141,3.125,1.843,0.85,7.05,µg-m3,1
FR03080,AVIGNON   MAIRIE,NO2,18.465,17.425,4.44,13.4,28.525,µg-m3,1
FR03080,AVIGNON   MAIRIE,O3,38.34,36.875,8.394,28.275,55.4,µg-m3,2
FR03080,AVIGNON   MAIRIE,NOX as NO2,23.296,22.738,5.29,14.85,34.6,µg-m3,1
FR03080,AVIGNON   MAIRIE,PM10,26.938,27.013,2.809,20.975,33.95,µg-m3,2
FR03080,AVIGNON   MAIRIE,PM2.5,21.775,23.475,4.4,13.95,27.325,µg-m3,3
FR03084,LE PONTET,NO,9.644,6.75,8.795,2.8,46.3,µg-m3,1
FR03084,LE PONTET,NO2,24.863,21.6,7.62,16.375,47.25,µg-m3,2
FR03084,LE PONTET,NOX as NO2,39.661,34.013,20.103,21.575,118.225,µg-m3,3
FR03086,APT,O3,22.051,7.838,24.724,0.125,67.35,µg-m3,2
FR03087,Avignon Semard,NO,18.104,9.738,28.577,2.0,114.2,µg-m3,1
FR03087,Avignon Semard,NO2,30.245,28.438,10.347,17.9,60.225,µg-m3,2
FR03087,Avignon Semard,NOX as NO2,58.023,41.075,53.083,21.0,230.325,µg-m3,5
FR03087,Avignon Semard,PM10,24.125,23.075,4.358,18.575,37.55,µg-m3,2
FR03088,CARPENTRAS,O3,28.207,21.125,19.096,8.2,65.825,µg-m3,2
FR04002,GENNEVILLIERS,NO,8.178,5.125,7.14,2.075,22.55,µg-m3,1
FR04002,GENNEVILLIERS,NO2,32.596,29.175,6.664,25.95,48.25,µg-m3,2
FR04002,GENNEVILLIERS,NOX as NO2,45.164,37.025,17.389,29.45,82.925,µg-m3,2
FR04002,GENNEVILLIERS,PM10,28.476,28.8,3.346,21.65,34.375,µg-m3,2
FR04002,GENNEVILLIERS,PM2.5,24.497,24.512,2.826,20.3,30.925,µg-m3,3
FR04004,PARIS 18eme,NO,8.246,7.463,4.127,2.3,16.95,µg-m3,1
FR04004,PARIS 18eme,NO2,38.244,37.725,4.927,28.825,47.55,µg-m3,2
FR04004,PARIS 18eme,O3,15.825,16.025,8.208,4.5,35.6,µg-m3,1
FR04004,PARIS 18eme,NOX as NO2,50.921,51.287,10.106,33.3,69.65,µg-m3,2
FR04004,PARIS 18eme,PM10,30.935,31.913,4.756,18.4,38.1,µg-m3,2
FR04004,PARIS 18eme,PM2.5,26.358,25.2,4.327,18.2,35.675,µg-m3,4
FR04012,Place Victor Basch,NO,69.674,53.562,40.062,16.275,139.675,µg-m3,1
